{260105=>{:time=>"9:15", :open=>36501.4, :high=>36814.55, :low=>36446.55, :close=>36814.55}}
{260105=>{:time=>"9:30", :open=>36812.25, :high=>36833.25, :low=>36705.15, :close=>36723.75}}
{260105=>{:time=>"9:45", :open=>36722.25, :high=>36747.65, :low=>36668.7, :close=>36711.15}}
{260105=>{:time=>"10:0", :open=>36712.1, :high=>36748.7, :low=>36640.5, :close=>36730.9}}
{260105=>{:time=>"10:15", :open=>36728.1, :high=>36767.95, :low=>36694.65, :close=>36698.2}}
{260105=>{:time=>"10:30", :open=>36698.3, :high=>36737.05, :low=>36682.9, :close=>36723.5}}
{260105=>{:time=>"10:45", :open=>36723.4, :high=>36791.45, :low=>36695.35, :close=>36763.3}}
{260105=>{:time=>"11:0", :open=>36764.15, :high=>36830.0, :low=>36733.9, :close=>36828.55}}
{260105=>{:time=>"11:15", :open=>36826.6, :high=>36834.9, :low=>36764.9, :close=>36808.05}}
{260105=>{:time=>"11:30", :open=>36809.85, :high=>36852.85, :low=>36803.4, :close=>36818.6}}
{260105=>{:time=>"11:45", :open=>36822.15, :high=>36822.15, :low=>36755.95, :close=>36794.1}}
{260105=>{:time=>"12:0", :open=>36792.9, :high=>36804.1, :low=>36740.9, :close=>36787.35}}
{260105=>{:time=>"12:15", :open=>36791.2, :high=>36885.25, :low=>36748.9, :close=>36880.7}}
{260105=>{:time=>"12:30", :open=>36877.8, :high=>36945.85, :low=>36866.95, :close=>36921.6}}
{260105=>{:time=>"12:45", :open=>36925.45, :high=>36945.4, :low=>36897.35, :close=>36929.6}}
{260105=>{:time=>"13:0", :open=>36926.55, :high=>37011.3, :low=>36926.55, :close=>36970.7}}
{260105=>{:time=>"13:15", :open=>36972.35, :high=>36976.5, :low=>36921.25, :close=>36932.2}}
{260105=>{:time=>"13:30", :open=>36932.3, :high=>37042.8, :low=>36901.5, :close=>36962.1}}
{260105=>{:time=>"13:45", :open=>36962.95, :high=>37030.9, :low=>36953.45, :close=>37010.4}}
{260105=>{:time=>"14:0", :open=>37008.1, :high=>37154.05, :low=>36988.0, :close=>37102.5}}
{260105=>{:time=>"14:15", :open=>37104.95, :high=>37132.35, :low=>37008.45, :close=>37063.15}}
{260105=>{:time=>"14:30", :open=>37062.05, :high=>37172.25, :low=>37047.6, :close=>37169.6}}
{260105=>{:time=>"14:45", :open=>37169.65, :high=>37205.05, :low=>37109.5, :close=>37165.7}}
{260105=>{:time=>"15:0", :open=>37166.5, :high=>37307.85, :low=>37127.6, :close=>37280.05}}
