{256265=>{:time=>"9:15", :open=>14449.45, :high=>14504.65, :low=>14422.65, :close=>14488.5}}
{256265=>{:time=>"9:30", :open=>14489.25, :high=>14535.2, :low=>14489.25, :close=>14513.1}}
{256265=>{:time=>"9:45", :open=>14512.2, :high=>14549.55, :low=>14501.2, :close=>14544.85}}
{256265=>{:time=>"10:0", :open=>14543.7, :high=>14556.7, :low=>14522.55, :close=>14523.2}}
{256265=>{:time=>"10:15", :open=>14522.9, :high=>14536.55, :low=>14517.75, :close=>14532.4}}
{256265=>{:time=>"10:30", :open=>14532.15, :high=>14537.95, :low=>14512.35, :close=>14521.8}}
{256265=>{:time=>"10:45", :open=>14521.85, :high=>14527.1, :low=>14502.3, :close=>14511.5}}
{256265=>{:time=>"11:0", :open=>14511.2, :high=>14542.0, :low=>14510.95, :close=>14538.15}}
{256265=>{:time=>"11:15", :open=>14537.7, :high=>14540.75, :low=>14517.95, :close=>14518.35}}
{256265=>{:time=>"11:30", :open=>14518.7, :high=>14527.4, :low=>14505.85, :close=>14519.4}}
{256265=>{:time=>"11:45", :open=>14519.65, :high=>14524.5, :low=>14502.65, :close=>14513.4}}
{256265=>{:time=>"12:0", :open=>14514.1, :high=>14525.8, :low=>14508.8, :close=>14515.75}}
{256265=>{:time=>"12:15", :open=>14515.4, :high=>14524.7, :low=>14482.25, :close=>14492.55}}
{256265=>{:time=>"12:30", :open=>14492.05, :high=>14504.2, :low=>14478.25, :close=>14502.85}}
{256265=>{:time=>"12:45", :open=>14503.75, :high=>14515.55, :low=>14494.75, :close=>14511.75}}
{256265=>{:time=>"13:0", :open=>14510.95, :high=>14521.95, :low=>14492.4, :close=>14496.15}}
{256265=>{:time=>"13:15", :open=>14498.15, :high=>14502.0, :low=>14480.3, :close=>14495.25}}
{256265=>{:time=>"13:30", :open=>14495.35, :high=>14496.9, :low=>14463.3, :close=>14469.9}}
{256265=>{:time=>"13:45", :open=>14470.0, :high=>14514.75, :low=>14464.6, :close=>14495.85}}
{256265=>{:time=>"14:0", :open=>14496.2, :high=>14511.75, :low=>14480.2, :close=>14486.45}}
{256265=>{:time=>"14:15", :open=>14487.1, :high=>14487.75, :low=>14451.5, :close=>14465.15}}
{256265=>{:time=>"14:30", :open=>14464.45, :high=>14479.85, :low=>14455.2, :close=>14470.5}}
{256265=>{:time=>"14:45", :open=>14471.65, :high=>14490.6, :low=>14461.65, :close=>14464.0}}
{256265=>{:time=>"15:0", :open=>14463.7, :high=>14489.45, :low=>14463.7, :close=>14480.1}}
