{260105=>{:time=>"9:15", :open=>32577.1, :high=>32602.3, :low=>32402.85, :close=>32463.0}}
{260105=>{:time=>"9:30", :open=>32463.9, :high=>32560.9, :low=>32431.35, :close=>32460.0}}
{260105=>{:time=>"9:45", :open=>32459.8, :high=>32506.6, :low=>32377.15, :close=>32501.3}}
{260105=>{:time=>"10:0", :open=>32502.1, :high=>32614.8, :low=>32072.8, :close=>32459.55}}
{260105=>{:time=>"10:15", :open=>32458.2, :high=>32551.15, :low=>32366.9, :close=>32530.7}}
{260105=>{:time=>"10:30", :open=>32536.1, :high=>32675.3, :low=>32516.6, :close=>32635.95}}
{260105=>{:time=>"10:45", :open=>32648.0, :high=>32725.85, :low=>32623.55, :close=>32669.5}}
{260105=>{:time=>"11:0", :open=>32669.7, :high=>32720.7, :low=>32527.45, :close=>32557.0}}
{260105=>{:time=>"11:15", :open=>32554.9, :high=>32563.2, :low=>32455.1, :close=>32547.8}}
{260105=>{:time=>"11:30", :open=>32544.1, :high=>32597.3, :low=>32489.95, :close=>32533.55}}
{260105=>{:time=>"11:45", :open=>32535.7, :high=>32597.75, :low=>32523.5, :close=>32586.3}}
{260105=>{:time=>"12:0", :open=>32586.15, :high=>32649.25, :low=>32498.65, :close=>32587.3}}
{260105=>{:time=>"12:15", :open=>32590.65, :high=>32627.45, :low=>32539.25, :close=>32606.6}}
{260105=>{:time=>"12:30", :open=>32605.1, :high=>32612.65, :low=>32512.85, :close=>32549.25}}
{260105=>{:time=>"12:45", :open=>32549.6, :high=>32766.55, :low=>32527.1, :close=>32739.35}}
{260105=>{:time=>"13:0", :open=>32739.65, :high=>32838.7, :low=>32694.25, :close=>32763.75}}
{260105=>{:time=>"13:15", :open=>32764.7, :high=>32813.7, :low=>32670.4, :close=>32719.3}}
{260105=>{:time=>"13:30", :open=>32723.15, :high=>32756.2, :low=>32645.6, :close=>32724.35}}
{260105=>{:time=>"13:45", :open=>32724.35, :high=>32748.0, :low=>32659.9, :close=>32708.35}}
{260105=>{:time=>"14:0", :open=>32708.0, :high=>32735.6, :low=>32537.35, :close=>32586.5}}
{260105=>{:time=>"14:15", :open=>32582.15, :high=>32762.3, :low=>32563.2, :close=>32722.45}}
{260105=>{:time=>"14:30", :open=>32725.95, :high=>32732.8, :low=>32652.9, :close=>32723.05}}
{260105=>{:time=>"14:45", :open=>32722.15, :high=>32755.2, :low=>32675.85, :close=>32685.2}}
{260105=>{:time=>"15:0", :open=>32685.15, :high=>32792.15, :low=>32684.1, :close=>32791.95}}
