2021-01-21 10:55:55,#<StrategyBigCandle:0x000055d8c42c5b80>,IP6577,9,135,NIFTY2111414400CE,BUY,<ltp>
2021-01-21 10:55:56,#<StrategyBigCandle:0x000055d8c42c5b80>,UP9405,9,18,NIFTY2111414400CE,SELL,<ltp>
2021-01-21 10:55:56,#<StrategyBigCandle:0x000055d8c42c5b80>,DN2156,9,135,NIFTY2111414400CE,SELL,<ltp>
2021-01-21 10:55:56,#<StrategyBigCandle:0x000055d8c42c5b80>,YD7348,9,135,NIFTY2111414400CE,SELL,<ltp>
2021-01-21 10:55:56,#<StrategyBigCandle:0x000055d8c42c5b80>,IP6577,9,135,NIFTY2111414400CE,SELL,<ltp>
2021-01-21 14:38:51,#<StrategyBigCandle:0x000055d8c4da64c8>,UP9405,9,18,BANKNIFTY2112132600PE,BUY,<ltp>
2021-01-21 14:38:51,#<StrategyBigCandle:0x000055d8c4da64c8>,DN2156,9,135,BANKNIFTY2112132600PE,BUY,<ltp>
2021-01-21 14:38:51,#<StrategyBigCandle:0x000055d8c4da64c8>,YD7348,9,135,BANKNIFTY2112132600PE,BUY,<ltp>
2021-01-21 14:38:51,#<StrategyBigCandle:0x000055d8c4da64c8>,IP6577,9,135,BANKNIFTY2112132600PE,BUY,<ltp>
2021-01-21 14:45:01,#<StrategyBigCandle:0x000055d8c4da64c8>,UP9405,9,18,BANKNIFTY2112132600PE,SELL,<ltp>
2021-01-21 14:45:01,#<StrategyBigCandle:0x000055d8c4da64c8>,DN2156,9,135,BANKNIFTY2112132600PE,SELL,<ltp>
2021-01-21 14:45:01,#<StrategyBigCandle:0x000055d8c4da64c8>,YD7348,9,135,BANKNIFTY2112132600PE,SELL,<ltp>
2021-01-21 14:45:01,#<StrategyBigCandle:0x000055d8c4da64c8>,IP6577,9,135,BANKNIFTY2112132600PE,SELL,<ltp>
2021-01-22 09:30:04,#<StrategyBigCandle:0x000056017fded358>,UP9405,9,18,NIFTY2111414250PE,BUY,<ltp>
2021-01-22 09:30:04,#<StrategyBigCandle:0x000056017fded358>,DN2156,9,135,NIFTY2111414250PE,BUY,<ltp>
2021-01-22 09:30:05,#<StrategyBigCandle:0x000056017fded358>,YD7348,9,135,NIFTY2111414250PE,BUY,<ltp>
2021-01-22 09:30:05,#<StrategyBigCandle:0x000056017fded358>,IP6577,9,135,NIFTY2111414250PE,BUY,<ltp>
2021-01-22 09:58:17,#<StrategyBigCandle:0x000056017fded358>,UP9405,9,18,NIFTY2111414250PE,SELL,<ltp>
2021-01-22 09:58:17,#<StrategyBigCandle:0x000056017fded358>,DN2156,9,135,NIFTY2111414250PE,SELL,<ltp>
