{256265=>{:time=>"9:15", :open=>14712.45, :high=>14751.5, :low=>14709.5, :close=>14721.75}}
{256265=>{:time=>"9:30", :open=>14722.4, :high=>14752.15, :low=>14713.35, :close=>14736.05}}
{256265=>{:time=>"9:45", :open=>14735.9, :high=>14743.0, :low=>14711.75, :close=>14716.55}}
{256265=>{:time=>"10:0", :open=>14716.75, :high=>14716.75, :low=>14665.05, :close=>14668.75}}
{256265=>{:time=>"10:15", :open=>14668.85, :high=>14668.85, :low=>14627.2, :close=>14642.05}}
{256265=>{:time=>"10:30", :open=>14641.7, :high=>14655.75, :low=>14626.45, :close=>14652.8}}
{256265=>{:time=>"10:45", :open=>14652.8, :high=>14653.85, :low=>14603.6, :close=>14622.6}}
{256265=>{:time=>"11:0", :open=>14623.15, :high=>14642.35, :low=>14609.4, :close=>14627.65}}
{256265=>{:time=>"11:15", :open=>14628.35, :high=>14635.15, :low=>14591.25, :close=>14595.4}}
{256265=>{:time=>"11:30", :open=>14595.65, :high=>14615.6, :low=>14579.75, :close=>14615.6}}
{256265=>{:time=>"11:45", :open=>14615.55, :high=>14640.3, :low=>14602.65, :close=>14639.1}}
{256265=>{:time=>"12:0", :open=>14640.1, :high=>14646.9, :low=>14611.8, :close=>14631.6}}
{256265=>{:time=>"12:15", :open=>14631.9, :high=>14654.65, :low=>14628.9, :close=>14649.25}}
{256265=>{:time=>"12:30", :open=>14649.35, :high=>14674.85, :low=>14635.9, :close=>14664.1}}
{256265=>{:time=>"12:45", :open=>14661.7, :high=>14662.95, :low=>14625.8, :close=>14626.75}}
{256265=>{:time=>"13:0", :open=>14627.15, :high=>14635.15, :low=>14610.55, :close=>14616.55}}
{256265=>{:time=>"13:15", :open=>14616.7, :high=>14652.95, :low=>14606.35, :close=>14641.2}}
{256265=>{:time=>"13:30", :open=>14641.45, :high=>14646.15, :low=>14614.35, :close=>14635.25}}
{256265=>{:time=>"13:45", :open=>14636.75, :high=>14648.1, :low=>14619.15, :close=>14637.1}}
{256265=>{:time=>"14:0", :open=>14637.6, :high=>14665.85, :low=>14627.65, :close=>14636.4}}
{256265=>{:time=>"14:15", :open=>14636.6, :high=>14647.05, :low=>14625.05, :close=>14641.65}}
{256265=>{:time=>"14:30", :open=>14642.2, :high=>14675.6, :low=>14639.05, :close=>14648.55}}
{256265=>{:time=>"14:45", :open=>14648.8, :high=>14651.8, :low=>14561.7, :close=>14583.25}}
{256265=>{:time=>"15:0", :open=>14583.8, :high=>14590.0, :low=>14535.55, :close=>14548.9}}
