{260105=>{:time=>"9:15", :open=>37041.95, :high=>37091.45, :low=>36850.3, :close=>37011.8}}
{260105=>{:time=>"9:30", :open=>37010.9, :high=>37018.2, :low=>36794.15, :close=>36873.1}}
{260105=>{:time=>"9:45", :open=>36876.05, :high=>36907.4, :low=>36821.5, :close=>36844.55}}
{260105=>{:time=>"10:0", :open=>36842.55, :high=>36959.7, :low=>36766.3, :close=>36939.8}}
{260105=>{:time=>"10:15", :open=>36940.25, :high=>37112.5, :low=>36904.6, :close=>37004.1}}
{260105=>{:time=>"10:30", :open=>37010.0, :high=>37132.45, :low=>36968.0, :close=>37132.45}}
{260105=>{:time=>"10:45", :open=>37125.35, :high=>37178.25, :low=>37083.05, :close=>37165.0}}
{260105=>{:time=>"11:0", :open=>37161.1, :high=>37330.6, :low=>37161.1, :close=>37253.2}}
{260105=>{:time=>"11:15", :open=>37255.4, :high=>37297.1, :low=>37214.75, :close=>37232.2}}
{260105=>{:time=>"11:30", :open=>37229.95, :high=>37282.4, :low=>37179.45, :close=>37226.55}}
{260105=>{:time=>"11:45", :open=>37224.45, :high=>37283.5, :low=>37187.3, :close=>37246.15}}
{260105=>{:time=>"12:0", :open=>37249.05, :high=>37249.05, :low=>37144.2, :close=>37179.7}}
{260105=>{:time=>"12:15", :open=>37183.75, :high=>37273.8, :low=>37139.8, :close=>37269.6}}
{260105=>{:time=>"12:30", :open=>37272.15, :high=>37316.15, :low=>37195.4, :close=>37196.1}}
{260105=>{:time=>"12:45", :open=>37200.0, :high=>37222.35, :low=>37029.7, :close=>37037.1}}
{260105=>{:time=>"13:0", :open=>37037.5, :high=>37037.5, :low=>36915.7, :close=>36991.4}}
{260105=>{:time=>"13:15", :open=>36993.2, :high=>37045.6, :low=>36932.9, :close=>36935.9}}
{260105=>{:time=>"13:30", :open=>36936.85, :high=>36974.6, :low=>36791.45, :close=>36870.95}}
{260105=>{:time=>"13:45", :open=>36871.55, :high=>37033.05, :low=>36827.65, :close=>36973.2}}
{260105=>{:time=>"14:0", :open=>36973.8, :high=>37005.45, :low=>36930.55, :close=>36979.9}}
{260105=>{:time=>"14:15", :open=>36979.75, :high=>37040.05, :low=>36896.2, :close=>36954.55}}
{260105=>{:time=>"14:30", :open=>36962.3, :high=>37049.25, :low=>36919.65, :close=>36919.65}}
{260105=>{:time=>"14:45", :open=>36923.65, :high=>37028.5, :low=>36912.3, :close=>36969.4}}
{260105=>{:time=>"15:0", :open=>36966.75, :high=>37004.45, :low=>36876.85, :close=>36936.8}}
