{256265=>{:time=>"9:15", :open=>14768.55, :high=>14843.25, :low=>14747.75, :close=>14833.85}}
{256265=>{:time=>"9:30", :open=>14834.75, :high=>14837.75, :low=>14798.1, :close=>14799.3}}
{256265=>{:time=>"9:45", :open=>14798.85, :high=>14820.6, :low=>14786.2, :close=>14815.7}}
{256265=>{:time=>"10:0", :open=>14815.25, :high=>14815.85, :low=>14768.5, :close=>14772.85}}
{256265=>{:time=>"10:15", :open=>14772.5, :high=>14787.05, :low=>14758.0, :close=>14763.35}}
{256265=>{:time=>"10:30", :open=>14762.65, :high=>14798.05, :low=>14743.85, :close=>14783.45}}
{256265=>{:time=>"10:45", :open=>14784.15, :high=>14866.65, :low=>14771.9, :close=>14834.8}}
{256265=>{:time=>"11:0", :open=>14835.0, :high=>14850.65, :low=>14800.15, :close=>14801.95}}
{256265=>{:time=>"11:15", :open=>14802.45, :high=>14816.6, :low=>14776.35, :close=>14781.4}}
{256265=>{:time=>"11:30", :open=>14780.05, :high=>14785.75, :low=>14708.55, :close=>14743.25}}
{256265=>{:time=>"11:45", :open=>14743.15, :high=>14758.6, :low=>14714.25, :close=>14750.65}}
{256265=>{:time=>"12:0", :open=>14750.6, :high=>14775.9, :low=>14739.05, :close=>14763.25}}
{256265=>{:time=>"12:15", :open=>14764.65, :high=>14765.25, :low=>14730.6, :close=>14740.25}}
{256265=>{:time=>"12:30", :open=>14740.1, :high=>14772.65, :low=>14738.85, :close=>14770.0}}
{256265=>{:time=>"12:45", :open=>14770.6, :high=>14802.9, :low=>14769.85, :close=>14779.05}}
{256265=>{:time=>"13:0", :open=>14779.5, :high=>14788.1, :low=>14766.3, :close=>14787.7}}
{256265=>{:time=>"13:15", :open=>14789.0, :high=>14812.95, :low=>14765.5, :close=>14798.15}}
{256265=>{:time=>"13:30", :open=>14799.3, :high=>14799.35, :low=>14750.05, :close=>14788.75}}
{256265=>{:time=>"13:45", :open=>14789.05, :high=>14825.55, :low=>14787.1, :close=>14804.9}}
{256265=>{:time=>"14:0", :open=>14806.15, :high=>14820.3, :low=>14789.2, :close=>14815.45}}
{256265=>{:time=>"14:15", :open=>14815.85, :high=>14876.35, :low=>14807.85, :close=>14853.65}}
{256265=>{:time=>"14:30", :open=>14853.85, :high=>14878.4, :low=>14841.1, :close=>14877.85}}
{256265=>{:time=>"14:45", :open=>14876.8, :high=>14876.8, :low=>14851.05, :close=>14851.05}}
{256265=>{:time=>"15:0", :open=>14849.4, :high=>14859.95, :low=>14814.75, :close=>14817.2}}
