{256265=>{:time=>"9:15", :open=>15371.45, :high=>15424.55, :low=>15371.45, :close=>15420.5}}
{256265=>{:time=>"9:30", :open=>15422.15, :high=>15431.3, :low=>15413.45, :close=>15419.1}}
{256265=>{:time=>"9:45", :open=>15419.15, :high=>15419.6, :low=>15381.5, :close=>15384.3}}
{256265=>{:time=>"10:0", :open=>15383.75, :high=>15398.2, :low=>15367.35, :close=>15393.2}}
{256265=>{:time=>"10:15", :open=>15392.75, :high=>15395.65, :low=>15378.85, :close=>15390.5}}
{256265=>{:time=>"10:30", :open=>15390.8, :high=>15412.5, :low=>15387.45, :close=>15405.85}}
{256265=>{:time=>"10:45", :open=>15405.3, :high=>15413.15, :low=>15384.75, :close=>15397.1}}
{256265=>{:time=>"11:0", :open=>15396.6, :high=>15407.5, :low=>15380.7, :close=>15383.1}}
{256265=>{:time=>"11:15", :open=>15382.75, :high=>15383.1, :low=>15341.3, :close=>15348.35}}
{256265=>{:time=>"11:30", :open=>15347.9, :high=>15366.0, :low=>15333.3, :close=>15363.25}}
{256265=>{:time=>"11:45", :open=>15362.65, :high=>15370.95, :low=>15333.4, :close=>15347.75}}
{256265=>{:time=>"12:0", :open=>15349.05, :high=>15364.95, :low=>15348.2, :close=>15354.0}}
{256265=>{:time=>"12:15", :open=>15353.4, :high=>15362.5, :low=>15345.05, :close=>15347.25}}
{256265=>{:time=>"12:30", :open=>15347.4, :high=>15368.45, :low=>15309.6, :close=>15311.95}}
{256265=>{:time=>"12:45", :open=>15312.25, :high=>15331.1, :low=>15299.4, :close=>15311.7}}
{256265=>{:time=>"13:0", :open=>15311.95, :high=>15312.25, :low=>15257.1, :close=>15275.3}}
{256265=>{:time=>"13:15", :open=>15275.15, :high=>15298.6, :low=>15250.75, :close=>15293.5}}
{256265=>{:time=>"13:30", :open=>15292.65, :high=>15319.35, :low=>15279.75, :close=>15295.5}}
{256265=>{:time=>"13:45", :open=>15295.7, :high=>15295.75, :low=>15243.35, :close=>15246.2}}
{256265=>{:time=>"14:0", :open=>15247.25, :high=>15282.5, :low=>15244.9, :close=>15276.9}}
{256265=>{:time=>"14:15", :open=>15277.45, :high=>15299.05, :low=>15266.3, :close=>15288.35}}
{256265=>{:time=>"14:30", :open=>15288.7, :high=>15326.7, :low=>15288.7, :close=>15312.35}}
{256265=>{:time=>"14:45", :open=>15312.6, :high=>15321.6, :low=>15295.85, :close=>15314.8}}
{256265=>{:time=>"15:0", :open=>15314.8, :high=>15324.45, :low=>15295.5, :close=>15312.4}}
