{256265=>{:time=>"9:15", :open=>13758.6, :high=>13773.05, :low=>13693.8, :close=>13711.1}}
{256265=>{:time=>"9:30", :open=>13709.6, :high=>13725.0, :low=>13669.6, :close=>13683.2}}
{256265=>{:time=>"9:45", :open=>13682.1, :high=>13726.85, :low=>13662.4, :close=>13726.85}}
{256265=>{:time=>"10:0", :open=>13726.95, :high=>13756.7, :low=>13715.4, :close=>13746.65}}
{256265=>{:time=>"10:15", :open=>13747.3, :high=>13762.25, :low=>13729.35, :close=>13729.35}}
{256265=>{:time=>"10:30", :open=>13730.4, :high=>13773.2, :low=>13721.85, :close=>13772.65}}
{256265=>{:time=>"10:45", :open=>13772.45, :high=>13791.9, :low=>13761.9, :close=>13778.75}}
{256265=>{:time=>"11:0", :open=>13778.35, :high=>13793.35, :low=>13750.55, :close=>13760.9}}
{256265=>{:time=>"11:15", :open=>13760.35, :high=>13851.35, :low=>13759.65, :close=>13849.45}}
{256265=>{:time=>"11:30", :open=>13848.55, :high=>13857.9, :low=>13823.85, :close=>13850.8}}
{256265=>{:time=>"11:45", :open=>13850.15, :high=>13905.35, :low=>13848.85, :close=>13874.2}}
{256265=>{:time=>"12:0", :open=>13874.15, :high=>13898.3, :low=>13807.45, :close=>13807.45}}
{256265=>{:time=>"12:15", :open=>13801.55, :high=>13868.15, :low=>13778.3, :close=>13864.5}}
{256265=>{:time=>"12:30", :open=>13862.2, :high=>13877.05, :low=>13835.5, :close=>13845.0}}
{256265=>{:time=>"12:45", :open=>13844.95, :high=>14094.1, :low=>13825.1, :close=>14083.25}}
{256265=>{:time=>"13:0", :open=>14085.9, :high=>14112.05, :low=>13991.05, :close=>14021.85}}
{256265=>{:time=>"13:15", :open=>14024.65, :high=>14153.3, :low=>14021.35, :close=>14152.35}}
{256265=>{:time=>"13:30", :open=>14153.1, :high=>14199.7, :low=>14111.95, :close=>14186.4}}
{256265=>{:time=>"13:45", :open=>14186.7, :high=>14214.7, :low=>14132.5, :close=>14158.25}}
{256265=>{:time=>"14:0", :open=>14158.5, :high=>14187.0, :low=>14111.85, :close=>14145.9}}
{256265=>{:time=>"14:15", :open=>14144.05, :high=>14214.25, :low=>14120.2, :close=>14202.65}}
{256265=>{:time=>"14:30", :open=>14203.65, :high=>14289.55, :low=>14203.65, :close=>14283.25}}
{256265=>{:time=>"14:45", :open=>14282.95, :high=>14288.15, :low=>14230.9, :close=>14269.65}}
{256265=>{:time=>"15:0", :open=>14270.5, :high=>14296.0, :low=>14249.2, :close=>14269.9}}
