{256265=>{:time=>"9:15", :open=>15279.9, :high=>15289.85, :low=>15243.5, :close=>15266.3}}
{256265=>{:time=>"9:30", :open=>15265.85, :high=>15267.9, :low=>15214.4, :close=>15234.35}}
{256265=>{:time=>"9:45", :open=>15233.35, :high=>15240.8, :low=>15221.8, :close=>15226.05}}
{256265=>{:time=>"10:0", :open=>15224.7, :high=>15247.3, :low=>15201.3, :close=>15240.55}}
{256265=>{:time=>"10:15", :open=>15241.1, :high=>15261.45, :low=>15229.45, :close=>15236.2}}
{256265=>{:time=>"10:30", :open=>15236.5, :high=>15247.35, :low=>15223.55, :close=>15247.1}}
{256265=>{:time=>"10:45", :open=>15245.95, :high=>15271.55, :low=>15239.0, :close=>15271.55}}
{256265=>{:time=>"11:0", :open=>15270.8, :high=>15311.75, :low=>15270.8, :close=>15291.55}}
{256265=>{:time=>"11:15", :open=>15291.9, :high=>15304.45, :low=>15283.05, :close=>15285.1}}
{256265=>{:time=>"11:30", :open=>15284.15, :high=>15292.6, :low=>15268.0, :close=>15280.5}}
{256265=>{:time=>"11:45", :open=>15281.2, :high=>15287.75, :low=>15272.75, :close=>15283.55}}
{256265=>{:time=>"12:0", :open=>15283.8, :high=>15293.4, :low=>15277.55, :close=>15286.4}}
{256265=>{:time=>"12:15", :open=>15286.05, :high=>15297.25, :low=>15275.1, :close=>15293.7}}
{256265=>{:time=>"12:30", :open=>15293.9, :high=>15313.5, :low=>15280.6, :close=>15281.45}}
{256265=>{:time=>"12:45", :open=>15281.85, :high=>15284.55, :low=>15245.65, :close=>15245.8}}
{256265=>{:time=>"13:0", :open=>15245.55, :high=>15245.55, :low=>15215.65, :close=>15229.75}}
{256265=>{:time=>"13:15", :open=>15229.7, :high=>15244.4, :low=>15217.45, :close=>15218.45}}
{256265=>{:time=>"13:30", :open=>15217.65, :high=>15227.7, :low=>15171.15, :close=>15195.3}}
{256265=>{:time=>"13:45", :open=>15195.25, :high=>15235.5, :low=>15193.75, :close=>15226.15}}
{256265=>{:time=>"14:0", :open=>15226.1, :high=>15235.2, :low=>15211.75, :close=>15229.5}}
{256265=>{:time=>"14:15", :open=>15229.4, :high=>15243.8, :low=>15211.3, :close=>15219.65}}
{256265=>{:time=>"14:30", :open=>15220.45, :high=>15231.4, :low=>15199.9, :close=>15200.25}}
{256265=>{:time=>"14:45", :open=>15199.5, :high=>15224.35, :low=>15191.9, :close=>15216.65}}
{256265=>{:time=>"15:0", :open=>15215.85, :high=>15229.35, :low=>15199.35, :close=>15218.15}}
