{256265=>{:time=>"9:15", :open=>14979.0, :high=>15043.15, :low=>14973.95, :close=>15013.6}}
{256265=>{:time=>"9:30", :open=>15013.25, :high=>15031.1, :low=>15009.4, :close=>15009.4}}
{256265=>{:time=>"9:45", :open=>15010.15, :high=>15018.65, :low=>14903.7, :close=>14920.4}}
{256265=>{:time=>"10:0", :open=>14921.7, :high=>14949.15, :low=>14896.3, :close=>14923.05}}
{256265=>{:time=>"10:15", :open=>14923.4, :high=>14931.05, :low=>14900.55, :close=>14911.0}}
{256265=>{:time=>"10:30", :open=>14911.2, :high=>14920.55, :low=>14858.7, :close=>14869.4}}
{256265=>{:time=>"10:45", :open=>14869.1, :high=>14872.3, :low=>14814.95, :close=>14838.75}}
{256265=>{:time=>"11:0", :open=>14837.9, :high=>14847.25, :low=>14820.35, :close=>14842.8}}
{256265=>{:time=>"11:15", :open=>14841.6, :high=>14919.45, :low=>14836.6, :close=>14889.25}}
{256265=>{:time=>"11:30", :open=>14888.75, :high=>14896.45, :low=>14862.55, :close=>14885.25}}
{256265=>{:time=>"11:45", :open=>14885.7, :high=>14914.35, :low=>14873.0, :close=>14876.45}}
{256265=>{:time=>"12:0", :open=>14876.8, :high=>14906.35, :low=>14870.05, :close=>14904.1}}
{256265=>{:time=>"12:15", :open=>14904.3, :high=>14909.2, :low=>14886.8, :close=>14905.55}}
{256265=>{:time=>"12:30", :open=>14906.25, :high=>14910.85, :low=>14894.05, :close=>14901.5}}
{256265=>{:time=>"12:45", :open=>14902.1, :high=>14937.5, :low=>14898.25, :close=>14930.9}}
{256265=>{:time=>"13:0", :open=>14930.3, :high=>14950.9, :low=>14899.8, :close=>14913.25}}
{256265=>{:time=>"13:15", :open=>14913.6, :high=>14947.85, :low=>14913.25, :close=>14941.3}}
{256265=>{:time=>"13:30", :open=>14941.25, :high=>14958.0, :low=>14935.75, :close=>14945.55}}
{256265=>{:time=>"13:45", :open=>14942.0, :high=>14942.0, :low=>14886.75, :close=>14889.1}}
{256265=>{:time=>"14:0", :open=>14887.9, :high=>14909.0, :low=>14869.8, :close=>14899.55}}
{256265=>{:time=>"14:15", :open=>14899.7, :high=>14913.65, :low=>14882.65, :close=>14906.9}}
{256265=>{:time=>"14:30", :open=>14907.85, :high=>14924.1, :low=>14892.6, :close=>14910.1}}
{256265=>{:time=>"14:45", :open=>14909.75, :high=>14920.75, :low=>14887.85, :close=>14909.1}}
{256265=>{:time=>"15:0", :open=>14908.45, :high=>14923.8, :low=>14891.35, :close=>14892.85}}
