{260105=>{:time=>"9:15", :open=>37088.75, :high=>37088.75, :low=>36828.7, :close=>36837.2}}
{260105=>{:time=>"9:30", :open=>36838.0, :high=>36870.85, :low=>36742.55, :close=>36813.05}}
{260105=>{:time=>"9:45", :open=>36818.0, :high=>36913.15, :low=>36778.65, :close=>36900.9}}
{260105=>{:time=>"10:0", :open=>36900.3, :high=>36935.45, :low=>36792.75, :close=>36839.2}}
{260105=>{:time=>"10:15", :open=>36837.25, :high=>36940.75, :low=>36778.05, :close=>36917.75}}
{260105=>{:time=>"10:30", :open=>36925.1, :high=>36962.7, :low=>36886.0, :close=>36929.6}}
{260105=>{:time=>"10:45", :open=>36929.0, :high=>36973.6, :low=>36875.85, :close=>36898.9}}
{260105=>{:time=>"11:0", :open=>36894.05, :high=>36916.25, :low=>36842.85, :close=>36853.0}}
{260105=>{:time=>"11:15", :open=>36852.65, :high=>36865.1, :low=>36776.8, :close=>36784.35}}
{260105=>{:time=>"11:30", :open=>36781.5, :high=>36808.4, :low=>36686.8, :close=>36686.8}}
{260105=>{:time=>"11:45", :open=>36690.95, :high=>36742.95, :low=>36650.45, :close=>36740.15}}
{260105=>{:time=>"12:0", :open=>36742.85, :high=>36749.1, :low=>36661.6, :close=>36667.1}}
{260105=>{:time=>"12:15", :open=>36668.45, :high=>36668.45, :low=>36519.3, :close=>36545.3}}
{260105=>{:time=>"12:30", :open=>36545.55, :high=>36563.55, :low=>36454.55, :close=>36458.75}}
{260105=>{:time=>"12:45", :open=>36454.65, :high=>36578.8, :low=>36448.6, :close=>36570.55}}
{260105=>{:time=>"13:0", :open=>36571.45, :high=>36598.4, :low=>36477.85, :close=>36539.4}}
{260105=>{:time=>"13:15", :open=>36540.0, :high=>36565.25, :low=>36403.3, :close=>36403.3}}
{260105=>{:time=>"13:30", :open=>36402.25, :high=>36448.2, :low=>36371.7, :close=>36431.95}}
{260105=>{:time=>"13:45", :open=>36425.7, :high=>36495.95, :low=>36371.2, :close=>36414.3}}
{260105=>{:time=>"14:0", :open=>36414.8, :high=>36590.35, :low=>36381.25, :close=>36590.35}}
{260105=>{:time=>"14:15", :open=>36593.25, :high=>36635.8, :low=>36525.95, :close=>36549.85}}
{260105=>{:time=>"14:30", :open=>36548.25, :high=>36667.15, :low=>36546.15, :close=>36662.75}}
{260105=>{:time=>"14:45", :open=>36662.75, :high=>36662.75, :low=>36532.9, :close=>36541.85}}
{260105=>{:time=>"15:0", :open=>36541.1, :high=>36619.9, :low=>36541.1, :close=>36594.9}}
