{256265=>{:time=>"9:15", :open=>14364.9, :high=>14390.95, :low=>14277.1, :close=>14374.9}}
{256265=>{:time=>"9:30", :open=>14375.6, :high=>14393.5, :low=>14355.05, :close=>14375.0}}
{256265=>{:time=>"9:45", :open=>14375.8, :high=>14424.95, :low=>14370.65, :close=>14417.15}}
{256265=>{:time=>"10:0", :open=>14418.3, :high=>14448.2, :low=>14416.75, :close=>14442.15}}
{256265=>{:time=>"10:15", :open=>14442.75, :high=>14447.3, :low=>14401.1, :close=>14405.3}}
{256265=>{:time=>"10:30", :open=>14405.7, :high=>14406.2, :low=>14374.4, :close=>14383.75}}
{256265=>{:time=>"10:45", :open=>14382.35, :high=>14391.45, :low=>14351.4, :close=>14364.8}}
{256265=>{:time=>"11:0", :open=>14364.95, :high=>14383.5, :low=>14355.1, :close=>14355.1}}
{256265=>{:time=>"11:15", :open=>14355.4, :high=>14360.4, :low=>14324.95, :close=>14344.35}}
{256265=>{:time=>"11:30", :open=>14343.45, :high=>14344.2, :low=>14296.45, :close=>14323.4}}
{256265=>{:time=>"11:45", :open=>14322.0, :high=>14344.95, :low=>14315.7, :close=>14333.75}}
{256265=>{:time=>"12:0", :open=>14333.45, :high=>14339.35, :low=>14304.3, :close=>14323.7}}
{256265=>{:time=>"12:15", :open=>14324.25, :high=>14343.35, :low=>14315.7, :close=>14336.35}}
{256265=>{:time=>"12:30", :open=>14336.25, :high=>14384.55, :low=>14335.8, :close=>14382.25}}
{256265=>{:time=>"12:45", :open=>14379.9, :high=>14405.25, :low=>14368.65, :close=>14384.6}}
{256265=>{:time=>"13:0", :open=>14384.9, :high=>14385.85, :low=>14321.95, :close=>14331.4}}
{256265=>{:time=>"13:15", :open=>14330.0, :high=>14351.65, :low=>14323.15, :close=>14323.15}}
{256265=>{:time=>"13:30", :open=>14322.35, :high=>14384.75, :low=>14316.05, :close=>14361.0}}
{256265=>{:time=>"13:45", :open=>14361.15, :high=>14430.1, :low=>14359.75, :close=>14425.65}}
{256265=>{:time=>"14:0", :open=>14426.6, :high=>14475.35, :low=>14411.05, :close=>14463.8}}
{256265=>{:time=>"14:15", :open=>14463.95, :high=>14479.9, :low=>14448.6, :close=>14463.9}}
{256265=>{:time=>"14:30", :open=>14465.35, :high=>14506.75, :low=>14462.3, :close=>14494.5}}
{256265=>{:time=>"14:45", :open=>14495.05, :high=>14504.8, :low=>14465.85, :close=>14477.2}}
{256265=>{:time=>"15:0", :open=>14476.8, :high=>14514.0, :low=>14463.1, :close=>14508.15}}
