{260105=>{:time=>"9:15", :open=>34905.05, :high=>34924.35, :low=>34651.4, :close=>34778.95}}
{260105=>{:time=>"9:30", :open=>34780.0, :high=>34849.75, :low=>34728.4, :close=>34747.75}}
{260105=>{:time=>"9:45", :open=>34754.95, :high=>34757.55, :low=>34670.7, :close=>34673.8}}
{260105=>{:time=>"10:0", :open=>34680.4, :high=>34776.45, :low=>34660.05, :close=>34678.95}}
{260105=>{:time=>"10:15", :open=>34680.0, :high=>34716.9, :low=>34635.25, :close=>34706.7}}
{260105=>{:time=>"10:30", :open=>34709.4, :high=>34838.55, :low=>34700.6, :close=>34764.05}}
{260105=>{:time=>"10:45", :open=>34765.5, :high=>34792.65, :low=>34728.0, :close=>34758.9}}
{260105=>{:time=>"11:0", :open=>34755.95, :high=>34769.95, :low=>34706.05, :close=>34756.25}}
{260105=>{:time=>"11:15", :open=>34755.7, :high=>35019.5, :low=>34751.7, :close=>35012.4}}
{260105=>{:time=>"11:30", :open=>35011.7, :high=>35098.75, :low=>34940.8, :close=>34964.2}}
{260105=>{:time=>"11:45", :open=>34961.65, :high=>35014.2, :low=>34873.5, :close=>34883.45}}
{260105=>{:time=>"12:0", :open=>34884.4, :high=>34907.3, :low=>34746.8, :close=>34776.5}}
{260105=>{:time=>"12:15", :open=>34779.05, :high=>34831.65, :low=>34683.8, :close=>34751.35}}
{260105=>{:time=>"12:30", :open=>34750.35, :high=>34775.85, :low=>34640.9, :close=>34693.35}}
{260105=>{:time=>"12:45", :open=>34692.3, :high=>34732.65, :low=>34604.4, :close=>34641.5}}
{260105=>{:time=>"13:0", :open=>34637.4, :high=>34680.6, :low=>34575.55, :close=>34625.2}}
{260105=>{:time=>"13:15", :open=>34625.05, :high=>34712.85, :low=>34596.25, :close=>34610.5}}
{260105=>{:time=>"13:30", :open=>34612.1, :high=>34721.05, :low=>34575.6, :close=>34642.8}}
{260105=>{:time=>"13:45", :open=>34641.7, :high=>34681.05, :low=>34534.2, :close=>34568.35}}
{260105=>{:time=>"14:0", :open=>34568.9, :high=>34622.5, :low=>34486.2, :close=>34518.15}}
{260105=>{:time=>"14:15", :open=>34521.25, :high=>34547.05, :low=>34438.15, :close=>34487.45}}
{260105=>{:time=>"14:30", :open=>34486.6, :high=>34534.3, :low=>34439.05, :close=>34486.0}}
{260105=>{:time=>"14:45", :open=>34486.75, :high=>34542.55, :low=>34464.2, :close=>34508.35}}
{260105=>{:time=>"15:0", :open=>34507.55, :high=>34531.45, :low=>34153.25, :close=>34168.05}}
