{260105=>{:time=>"9:15", :open=>30993.45, :high=>31004.45, :low=>30582.3, :close=>30705.9}}
{260105=>{:time=>"9:30", :open=>30705.6, :high=>30705.6, :low=>30421.15, :close=>30463.75}}
{260105=>{:time=>"9:45", :open=>30467.8, :high=>30602.25, :low=>30407.9, :close=>30596.8}}
{260105=>{:time=>"10:0", :open=>30599.55, :high=>30690.5, :low=>30535.65, :close=>30661.65}}
{260105=>{:time=>"10:15", :open=>30663.05, :high=>30689.3, :low=>30528.9, :close=>30640.2}}
{260105=>{:time=>"10:30", :open=>30640.95, :high=>30812.5, :low=>30634.65, :close=>30722.75}}
{260105=>{:time=>"10:45", :open=>30723.75, :high=>30824.9, :low=>30700.75, :close=>30787.9}}
{260105=>{:time=>"11:0", :open=>30791.85, :high=>30804.6, :low=>30740.4, :close=>30759.95}}
{260105=>{:time=>"11:15", :open=>30763.85, :high=>30763.85, :low=>30619.25, :close=>30656.65}}
{260105=>{:time=>"11:30", :open=>30657.6, :high=>30657.6, :low=>30555.45, :close=>30639.2}}
{260105=>{:time=>"11:45", :open=>30639.6, :high=>30680.15, :low=>30610.6, :close=>30632.75}}
{260105=>{:time=>"12:0", :open=>30632.8, :high=>30680.25, :low=>30603.1, :close=>30620.25}}
{260105=>{:time=>"12:15", :open=>30615.4, :high=>30647.0, :low=>30583.6, :close=>30647.0}}
{260105=>{:time=>"12:30", :open=>30647.75, :high=>30661.15, :low=>30568.5, :close=>30640.45}}
{260105=>{:time=>"12:45", :open=>30641.0, :high=>30770.25, :low=>30622.85, :close=>30750.6}}
{260105=>{:time=>"13:0", :open=>30751.25, :high=>30791.45, :low=>30709.3, :close=>30738.35}}
{260105=>{:time=>"13:15", :open=>30738.55, :high=>30838.3, :low=>30716.85, :close=>30771.35}}
{260105=>{:time=>"13:30", :open=>30770.8, :high=>30825.05, :low=>30711.3, :close=>30763.2}}
{260105=>{:time=>"13:45", :open=>30760.5, :high=>31053.4, :low=>30742.15, :close=>30950.5}}
{260105=>{:time=>"14:0", :open=>30954.55, :high=>31036.0, :low=>30940.2, :close=>30941.3}}
{260105=>{:time=>"14:15", :open=>30940.6, :high=>30976.3, :low=>30878.4, :close=>30948.9}}
{260105=>{:time=>"14:30", :open=>30948.65, :high=>30986.1, :low=>30910.1, :close=>30919.3}}
{260105=>{:time=>"14:45", :open=>30922.7, :high=>30979.15, :low=>30840.9, :close=>30975.9}}
{260105=>{:time=>"15:0", :open=>30975.1, :high=>31255.45, :low=>30975.1, :close=>31239.7}}
