{256265=>{:time=>"9:15", :open=>14306.6, :high=>14323.9, :low=>14204.2, :close=>14264.4}}
{256265=>{:time=>"9:30", :open=>14265.3, :high=>14265.3, :low=>14199.1, :close=>14206.55}}
{256265=>{:time=>"9:45", :open=>14203.9, :high=>14248.1, :low=>14192.3, :close=>14247.4}}
{256265=>{:time=>"10:0", :open=>14247.6, :high=>14291.05, :low=>14225.75, :close=>14287.95}}
{256265=>{:time=>"10:15", :open=>14288.55, :high=>14291.15, :low=>14246.75, :close=>14275.65}}
{256265=>{:time=>"10:30", :open=>14276.15, :high=>14329.05, :low=>14270.9, :close=>14297.95}}
{256265=>{:time=>"10:45", :open=>14297.45, :high=>14331.3, :low=>14291.8, :close=>14321.75}}
{256265=>{:time=>"11:0", :open=>14321.6, :high=>14322.35, :low=>14305.75, :close=>14307.9}}
{256265=>{:time=>"11:15", :open=>14308.2, :high=>14308.95, :low=>14271.7, :close=>14277.8}}
{256265=>{:time=>"11:30", :open=>14278.0, :high=>14280.0, :low=>14249.4, :close=>14278.45}}
{256265=>{:time=>"11:45", :open=>14278.2, :high=>14287.35, :low=>14270.25, :close=>14275.7}}
{256265=>{:time=>"12:0", :open=>14275.4, :high=>14296.2, :low=>14263.75, :close=>14270.65}}
{256265=>{:time=>"12:15", :open=>14269.95, :high=>14285.4, :low=>14266.2, :close=>14285.4}}
{256265=>{:time=>"12:30", :open=>14284.95, :high=>14289.35, :low=>14264.45, :close=>14276.1}}
{256265=>{:time=>"12:45", :open=>14276.75, :high=>14311.8, :low=>14274.75, :close=>14305.05}}
{256265=>{:time=>"13:0", :open=>14304.75, :high=>14318.65, :low=>14301.45, :close=>14314.9}}
{256265=>{:time=>"13:15", :open=>14315.05, :high=>14348.8, :low=>14309.55, :close=>14328.4}}
{256265=>{:time=>"13:30", :open=>14328.0, :high=>14348.65, :low=>14308.65, :close=>14323.5}}
{256265=>{:time=>"13:45", :open=>14322.9, :high=>14371.05, :low=>14313.6, :close=>14354.05}}
{256265=>{:time=>"14:0", :open=>14354.95, :high=>14381.6, :low=>14350.2, :close=>14353.95}}
{256265=>{:time=>"14:15", :open=>14354.45, :high=>14359.75, :low=>14328.55, :close=>14345.35}}
{256265=>{:time=>"14:30", :open=>14345.1, :high=>14358.25, :low=>14317.15, :close=>14319.95}}
{256265=>{:time=>"14:45", :open=>14320.0, :high=>14332.65, :low=>14298.95, :close=>14327.3}}
{256265=>{:time=>"15:0", :open=>14326.85, :high=>14368.2, :low=>14326.85, :close=>14361.9}}
