{260105=>{:time=>"9:15", :open=>30976.35, :high=>31153.95, :low=>30926.35, :close=>31074.0}}
{260105=>{:time=>"9:30", :open=>31066.3, :high=>31114.2, :low=>30954.65, :close=>30977.55}}
{260105=>{:time=>"9:45", :open=>30975.75, :high=>31041.6, :low=>30909.2, :close=>31032.7}}
{260105=>{:time=>"10:0", :open=>31033.65, :high=>31151.95, :low=>31008.9, :close=>31133.2}}
{260105=>{:time=>"10:15", :open=>31135.85, :high=>31163.1, :low=>31050.8, :close=>31084.45}}
{260105=>{:time=>"10:30", :open=>31083.1, :high=>31141.75, :low=>31048.1, :close=>31133.85}}
{260105=>{:time=>"10:45", :open=>31129.2, :high=>31251.6, :low=>31089.15, :close=>31225.1}}
{260105=>{:time=>"11:0", :open=>31225.5, :high=>31328.5, :low=>31193.35, :close=>31213.3}}
{260105=>{:time=>"11:15", :open=>31210.45, :high=>31508.9, :low=>31192.15, :close=>31504.55}}
{260105=>{:time=>"11:30", :open=>31493.15, :high=>31536.2, :low=>31346.5, :close=>31421.25}}
{260105=>{:time=>"11:45", :open=>31420.8, :high=>31625.7, :low=>31414.85, :close=>31492.35}}
{260105=>{:time=>"12:0", :open=>31495.55, :high=>31579.8, :low=>31327.45, :close=>31327.45}}
{260105=>{:time=>"12:15", :open=>31334.4, :high=>31543.1, :low=>31231.9, :close=>31524.85}}
{260105=>{:time=>"12:30", :open=>31516.3, :high=>31564.4, :low=>31422.95, :close=>31446.45}}
{260105=>{:time=>"12:45", :open=>31445.6, :high=>32463.65, :low=>31404.75, :close=>32416.8}}
{260105=>{:time=>"13:0", :open=>32427.35, :high=>32531.95, :low=>32214.35, :close=>32303.95}}
{260105=>{:time=>"13:15", :open=>32315.85, :high=>32644.25, :low=>32301.05, :close=>32572.35}}
{260105=>{:time=>"13:30", :open=>32568.55, :high=>32794.4, :low=>32510.35, :close=>32739.8}}
{260105=>{:time=>"13:45", :open=>32739.15, :high=>32780.55, :low=>32542.6, :close=>32573.3}}
{260105=>{:time=>"14:0", :open=>32572.65, :high=>32638.65, :low=>32378.5, :close=>32444.05}}
{260105=>{:time=>"14:15", :open=>32435.6, :high=>32694.3, :low=>32358.4, :close=>32639.75}}
{260105=>{:time=>"14:30", :open=>32639.6, :high=>32990.75, :low=>32639.6, :close=>32975.7}}
{260105=>{:time=>"14:45", :open=>32969.25, :high=>33047.45, :low=>32885.1, :close=>33014.95}}
{260105=>{:time=>"15:0", :open=>33011.9, :high=>33129.25, :low=>32978.2, :close=>33051.75}}
