{260105=>{:time=>"9:15", :open=>34577.5, :high=>34732.6, :low=>34525.75, :close=>34614.75}}
{260105=>{:time=>"9:30", :open=>34613.3, :high=>34715.55, :low=>34585.3, :close=>34714.75}}
{260105=>{:time=>"9:45", :open=>34715.1, :high=>34759.65, :low=>34664.55, :close=>34690.65}}
{260105=>{:time=>"10:0", :open=>34686.95, :high=>34708.65, :low=>34574.75, :close=>34592.5}}
{260105=>{:time=>"10:15", :open=>34599.8, :high=>34635.6, :low=>34548.0, :close=>34593.35}}
{260105=>{:time=>"10:30", :open=>34593.85, :high=>34594.25, :low=>34408.8, :close=>34447.75}}
{260105=>{:time=>"10:45", :open=>34446.55, :high=>34584.35, :low=>34443.35, :close=>34514.6}}
{260105=>{:time=>"11:0", :open=>34512.7, :high=>34533.65, :low=>34472.0, :close=>34494.85}}
{260105=>{:time=>"11:15", :open=>34495.2, :high=>34523.4, :low=>34461.4, :close=>34484.15}}
{260105=>{:time=>"11:30", :open=>34485.05, :high=>34527.7, :low=>34405.7, :close=>34444.45}}
{260105=>{:time=>"11:45", :open=>34445.55, :high=>34550.8, :low=>34431.1, :close=>34546.75}}
{260105=>{:time=>"12:0", :open=>34550.55, :high=>34634.3, :low=>34499.25, :close=>34622.9}}
{260105=>{:time=>"12:15", :open=>34624.15, :high=>34639.9, :low=>34520.0, :close=>34554.2}}
{260105=>{:time=>"12:30", :open=>34556.2, :high=>34566.5, :low=>34489.0, :close=>34538.45}}
{260105=>{:time=>"12:45", :open=>34541.0, :high=>34542.55, :low=>34413.8, :close=>34439.75}}
{260105=>{:time=>"13:0", :open=>34438.9, :high=>34438.9, :low=>34147.3, :close=>34152.95}}
{260105=>{:time=>"13:15", :open=>34151.9, :high=>34198.45, :low=>33952.9, :close=>34016.35}}
{260105=>{:time=>"13:30", :open=>34014.6, :high=>34016.45, :low=>33856.75, :close=>33912.9}}
{260105=>{:time=>"13:45", :open=>33915.75, :high=>34032.95, :low=>33775.9, :close=>33792.3}}
{260105=>{:time=>"14:0", :open=>33791.35, :high=>33800.0, :low=>33616.3, :close=>33638.6}}
{260105=>{:time=>"14:15", :open=>33637.95, :high=>33757.5, :low=>33601.3, :close=>33721.2}}
{260105=>{:time=>"14:30", :open=>33723.55, :high=>33917.5, :low=>33712.15, :close=>33735.3}}
{260105=>{:time=>"14:45", :open=>33737.1, :high=>33828.65, :low=>33693.45, :close=>33784.3}}
{260105=>{:time=>"15:0", :open=>33788.1, :high=>33953.75, :low=>33653.5, :close=>33930.7}}
