{260105=>{:time=>"9:15", :open=>32900.75, :high=>32951.1, :low=>32713.95, :close=>32732.1}}
{260105=>{:time=>"9:30", :open=>32734.7, :high=>32906.45, :low=>32717.5, :close=>32816.85}}
{260105=>{:time=>"9:45", :open=>32812.95, :high=>32869.7, :low=>32755.7, :close=>32770.1}}
{260105=>{:time=>"10:0", :open=>32768.4, :high=>32826.1, :low=>32712.7, :close=>32737.65}}
{260105=>{:time=>"10:15", :open=>32745.65, :high=>32758.65, :low=>32614.55, :close=>32672.25}}
{260105=>{:time=>"10:30", :open=>32671.7, :high=>32703.75, :low=>32620.2, :close=>32667.9}}
{260105=>{:time=>"10:45", :open=>32671.7, :high=>32708.25, :low=>32666.15, :close=>32681.05}}
{260105=>{:time=>"11:0", :open=>32682.7, :high=>32743.3, :low=>32567.4, :close=>32611.35}}
{260105=>{:time=>"11:15", :open=>32613.8, :high=>32652.1, :low=>32588.1, :close=>32648.8}}
{260105=>{:time=>"11:30", :open=>32650.0, :high=>32684.5, :low=>32613.1, :close=>32664.4}}
{260105=>{:time=>"11:45", :open=>32664.15, :high=>32753.15, :low=>32627.65, :close=>32730.6}}
{260105=>{:time=>"12:0", :open=>32731.5, :high=>32742.45, :low=>32670.15, :close=>32731.65}}
{260105=>{:time=>"12:15", :open=>32730.3, :high=>32833.1, :low=>32714.8, :close=>32823.95}}
{260105=>{:time=>"12:30", :open=>32826.1, :high=>32845.75, :low=>32770.35, :close=>32783.95}}
{260105=>{:time=>"12:45", :open=>32783.75, :high=>32857.2, :low=>32766.25, :close=>32833.8}}
{260105=>{:time=>"13:0", :open=>32832.65, :high=>32883.85, :low=>32807.1, :close=>32875.3}}
{260105=>{:time=>"13:15", :open=>32875.3, :high=>32898.0, :low=>32729.65, :close=>32785.45}}
{260105=>{:time=>"13:30", :open=>32788.05, :high=>32845.9, :low=>32736.9, :close=>32834.85}}
{260105=>{:time=>"13:45", :open=>32836.25, :high=>32860.05, :low=>32780.85, :close=>32835.1}}
{260105=>{:time=>"14:0", :open=>32833.15, :high=>32923.5, :low=>32795.95, :close=>32810.6}}
{260105=>{:time=>"14:15", :open=>32811.5, :high=>32827.75, :low=>32739.85, :close=>32784.0}}
{260105=>{:time=>"14:30", :open=>32785.6, :high=>32894.75, :low=>32759.5, :close=>32832.55}}
{260105=>{:time=>"14:45", :open=>32833.8, :high=>32845.95, :low=>32765.0, :close=>32765.0}}
{260105=>{:time=>"15:0", :open=>32764.65, :high=>32842.4, :low=>32692.85, :close=>32829.5}}
