{256265=>{:time=>"9:15", :open=>15164.15, :high=>15188.45, :low=>15137.9, :close=>15173.8}}
{256265=>{:time=>"9:30", :open=>15174.05, :high=>15196.55, :low=>15162.1, :close=>15164.65}}
{256265=>{:time=>"9:45", :open=>15165.65, :high=>15165.7, :low=>15134.75, :close=>15165.7}}
{256265=>{:time=>"10:0", :open=>15165.45, :high=>15182.35, :low=>15161.6, :close=>15167.6}}
{256265=>{:time=>"10:15", :open=>15168.55, :high=>15191.4, :low=>15157.85, :close=>15188.9}}
{256265=>{:time=>"10:30", :open=>15190.1, :high=>15205.6, :low=>15185.5, :close=>15191.45}}
{256265=>{:time=>"10:45", :open=>15191.75, :high=>15219.15, :low=>15191.75, :close=>15204.45}}
{256265=>{:time=>"11:0", :open=>15203.5, :high=>15225.2, :low=>15203.5, :close=>15219.55}}
{256265=>{:time=>"11:15", :open=>15219.15, :high=>15237.7, :low=>15218.65, :close=>15224.35}}
{256265=>{:time=>"11:30", :open=>15225.4, :high=>15237.85, :low=>15218.0, :close=>15225.4}}
{256265=>{:time=>"11:45", :open=>15225.3, :high=>15236.25, :low=>15217.85, :close=>15228.05}}
{256265=>{:time=>"12:0", :open=>15228.45, :high=>15228.75, :low=>15195.7, :close=>15221.75}}
{256265=>{:time=>"12:15", :open=>15222.35, :high=>15230.15, :low=>15213.15, :close=>15223.35}}
{256265=>{:time=>"12:30", :open=>15222.3, :high=>15237.7, :low=>15222.3, :close=>15235.15}}
{256265=>{:time=>"12:45", :open=>15235.0, :high=>15237.6, :low=>15221.7, :close=>15224.8}}
{256265=>{:time=>"13:0", :open=>15225.65, :high=>15243.75, :low=>15221.85, :close=>15236.55}}
{256265=>{:time=>"13:15", :open=>15236.3, :high=>15241.0, :low=>15222.0, :close=>15230.3}}
{256265=>{:time=>"13:30", :open=>15230.05, :high=>15255.7, :low=>15223.5, :close=>15248.85}}
{256265=>{:time=>"13:45", :open=>15249.15, :high=>15251.4, :low=>15236.1, :close=>15242.3}}
{256265=>{:time=>"14:0", :open=>15242.25, :high=>15250.15, :low=>15230.05, :close=>15243.3}}
{256265=>{:time=>"14:15", :open=>15243.25, :high=>15256.1, :low=>15224.7, :close=>15230.25}}
{256265=>{:time=>"14:30", :open=>15230.35, :high=>15237.0, :low=>15197.6, :close=>15206.45}}
{256265=>{:time=>"14:45", :open=>15204.85, :high=>15204.85, :low=>15116.2, :close=>15145.2}}
{256265=>{:time=>"15:0", :open=>15143.5, :high=>15148.1, :low=>15065.5, :close=>15116.9}}
