{260105=>{:time=>"9:15", :open=>33112.4, :high=>33209.05, :low=>32964.55, :close=>33139.2}}
{260105=>{:time=>"9:30", :open=>33136.15, :high=>33341.8, :low=>33107.95, :close=>33301.5}}
{260105=>{:time=>"9:45", :open=>33306.35, :high=>33397.15, :low=>33253.8, :close=>33316.1}}
{260105=>{:time=>"10:0", :open=>33321.7, :high=>33336.95, :low=>33097.25, :close=>33199.7}}
{260105=>{:time=>"10:15", :open=>33196.2, :high=>33305.75, :low=>33164.65, :close=>33303.5}}
{260105=>{:time=>"10:30", :open=>33301.45, :high=>33398.55, :low=>33232.25, :close=>33345.25}}
{260105=>{:time=>"10:45", :open=>33351.4, :high=>33448.6, :low=>33320.8, :close=>33420.25}}
{260105=>{:time=>"11:0", :open=>33416.3, :high=>33436.65, :low=>33323.15, :close=>33334.95}}
{260105=>{:time=>"11:15", :open=>33336.6, :high=>33367.3, :low=>33241.25, :close=>33246.7}}
{260105=>{:time=>"11:30", :open=>33246.55, :high=>33302.05, :low=>33129.8, :close=>33160.6}}
{260105=>{:time=>"11:45", :open=>33160.75, :high=>33267.9, :low=>33159.7, :close=>33232.95}}
{260105=>{:time=>"12:0", :open=>33235.85, :high=>33294.3, :low=>33183.55, :close=>33184.1}}
{260105=>{:time=>"12:15", :open=>33188.8, :high=>33284.55, :low=>33178.8, :close=>33254.5}}
{260105=>{:time=>"12:30", :open=>33255.55, :high=>33306.05, :low=>33231.2, :close=>33269.7}}
{260105=>{:time=>"12:45", :open=>33271.8, :high=>33293.2, :low=>33194.25, :close=>33258.55}}
{260105=>{:time=>"13:0", :open=>33257.35, :high=>33264.75, :low=>33069.1, :close=>33103.4}}
{260105=>{:time=>"13:15", :open=>33100.6, :high=>33159.7, :low=>33045.45, :close=>33056.85}}
{260105=>{:time=>"13:30", :open=>33059.75, :high=>33125.05, :low=>32964.25, :close=>32986.4}}
{260105=>{:time=>"13:45", :open=>32982.95, :high=>33029.65, :low=>32915.8, :close=>33019.65}}
{260105=>{:time=>"14:0", :open=>33018.55, :high=>33022.25, :low=>32786.8, :close=>32878.25}}
{260105=>{:time=>"14:15", :open=>32876.5, :high=>32923.5, :low=>32759.15, :close=>32884.3}}
{260105=>{:time=>"14:30", :open=>32884.95, :high=>33003.95, :low=>32837.95, :close=>32941.4}}
{260105=>{:time=>"14:45", :open=>32942.65, :high=>32965.25, :low=>32844.15, :close=>32900.9}}
{260105=>{:time=>"15:0", :open=>32903.0, :high=>32904.35, :low=>32786.55, :close=>32824.15}}
