{256265=>{:time=>"9:15", :open=>14716.45, :high=>14753.5, :low=>14652.15, :close=>14748.6}}
{256265=>{:time=>"9:30", :open=>14748.55, :high=>14774.15, :low=>14735.05, :close=>14772.45}}
{256265=>{:time=>"9:45", :open=>14772.15, :high=>14783.25, :low=>14758.65, :close=>14771.85}}
{256265=>{:time=>"10:0", :open=>14771.2, :high=>14808.4, :low=>14758.55, :close=>14787.0}}
{256265=>{:time=>"10:15", :open=>14786.4, :high=>14791.7, :low=>14748.0, :close=>14786.25}}
{256265=>{:time=>"10:30", :open=>14785.8, :high=>14794.9, :low=>14766.05, :close=>14768.35}}
{256265=>{:time=>"10:45", :open=>14768.55, :high=>14833.1, :low=>14760.55, :close=>14832.3}}
{256265=>{:time=>"11:0", :open=>14831.3, :high=>14860.3, :low=>14831.1, :close=>14855.85}}
{256265=>{:time=>"11:15", :open=>14856.35, :high=>14867.25, :low=>14835.05, :close=>14852.3}}
{256265=>{:time=>"11:30", :open=>14852.6, :high=>14862.15, :low=>14842.0, :close=>14851.3}}
{256265=>{:time=>"11:45", :open=>14851.1, :high=>14851.8, :low=>14820.15, :close=>14828.0}}
{256265=>{:time=>"12:0", :open=>14827.7, :high=>14862.75, :low=>14819.9, :close=>14858.45}}
{256265=>{:time=>"12:15", :open=>14858.25, :high=>14858.55, :low=>14837.75, :close=>14843.65}}
{256265=>{:time=>"12:30", :open=>14843.6, :high=>14853.4, :low=>14837.0, :close=>14844.3}}
{256265=>{:time=>"12:45", :open=>14844.5, :high=>14867.6, :low=>14831.7, :close=>14852.9}}
{256265=>{:time=>"13:0", :open=>14853.15, :high=>14879.5, :low=>14850.15, :close=>14872.1}}
{256265=>{:time=>"13:15", :open=>14872.35, :high=>14872.65, :low=>14801.2, :close=>14815.9}}
{256265=>{:time=>"13:30", :open=>14816.05, :high=>14829.85, :low=>14776.15, :close=>14778.55}}
{256265=>{:time=>"13:45", :open=>14778.45, :high=>14838.45, :low=>14778.45, :close=>14837.6}}
{256265=>{:time=>"14:0", :open=>14836.6, :high=>14845.8, :low=>14827.1, :close=>14834.15}}
{256265=>{:time=>"14:15", :open=>14834.1, :high=>14844.3, :low=>14823.0, :close=>14835.1}}
{256265=>{:time=>"14:30", :open=>14834.9, :high=>14856.4, :low=>14826.4, :close=>14826.4}}
{256265=>{:time=>"14:45", :open=>14826.95, :high=>14827.25, :low=>14808.1, :close=>14808.25}}
{256265=>{:time=>"15:0", :open=>14807.55, :high=>14835.55, :low=>14805.3, :close=>14818.45}}
