{256265=>{:time=>"9:15", :open=>14471.15, :high=>14490.8, :low=>14369.65, :close=>14376.2}}
{256265=>{:time=>"9:30", :open=>14374.45, :high=>14437.7, :low=>14350.5, :close=>14420.7}}
{256265=>{:time=>"9:45", :open=>14421.25, :high=>14476.8, :low=>14406.05, :close=>14468.8}}
{256265=>{:time=>"10:0", :open=>14470.2, :high=>14518.8, :low=>14445.15, :close=>14501.35}}
{256265=>{:time=>"10:15", :open=>14500.9, :high=>14541.35, :low=>14458.0, :close=>14525.7}}
{256265=>{:time=>"10:30", :open=>14525.75, :high=>14547.05, :low=>14505.85, :close=>14524.55}}
{256265=>{:time=>"10:45", :open=>14525.55, :high=>14598.9, :low=>14510.35, :close=>14598.9}}
{256265=>{:time=>"11:0", :open=>14598.35, :high=>14642.25, :low=>14598.35, :close=>14616.45}}
{256265=>{:time=>"11:15", :open=>14615.55, :high=>14622.9, :low=>14544.65, :close=>14580.55}}
{256265=>{:time=>"11:30", :open=>14580.05, :high=>14586.15, :low=>14516.15, :close=>14521.0}}
{256265=>{:time=>"11:45", :open=>14521.4, :high=>14573.3, :low=>14505.3, :close=>14563.35}}
{256265=>{:time=>"12:0", :open=>14565.4, :high=>14570.8, :low=>14507.65, :close=>14518.7}}
{256265=>{:time=>"12:15", :open=>14519.8, :high=>14559.15, :low=>14494.65, :close=>14544.2}}
{256265=>{:time=>"12:30", :open=>14544.9, :high=>14587.45, :low=>14532.55, :close=>14542.85}}
{256265=>{:time=>"12:45", :open=>14543.25, :high=>14599.7, :low=>14535.4, :close=>14563.7}}
{256265=>{:time=>"13:0", :open=>14562.75, :high=>14587.0, :low=>14551.65, :close=>14579.05}}
{256265=>{:time=>"13:15", :open=>14578.8, :high=>14621.15, :low=>14565.9, :close=>14596.7}}
{256265=>{:time=>"13:30", :open=>14595.0, :high=>14637.85, :low=>14568.2, :close=>14602.75}}
{256265=>{:time=>"13:45", :open=>14602.4, :high=>14669.1, :low=>14595.0, :close=>14667.2}}
{256265=>{:time=>"14:0", :open=>14665.15, :high=>14692.1, :low=>14645.3, :close=>14673.85}}
{256265=>{:time=>"14:15", :open=>14674.35, :high=>14700.1, :low=>14638.95, :close=>14689.5}}
{256265=>{:time=>"14:30", :open=>14688.2, :high=>14749.85, :low=>14688.2, :close=>14737.85}}
{256265=>{:time=>"14:45", :open=>14737.7, :high=>14763.0, :low=>14720.95, :close=>14763.0}}
{256265=>{:time=>"15:0", :open=>14763.2, :high=>14787.4, :low=>14730.45, :close=>14747.8}}
