{260105=>{:time=>"9:15", :open=>32640.95, :high=>32796.8, :low=>32629.35, :close=>32778.65}}
{260105=>{:time=>"9:30", :open=>32779.25, :high=>32810.4, :low=>32753.4, :close=>32777.8}}
{260105=>{:time=>"9:45", :open=>32778.75, :high=>32834.35, :low=>32752.3, :close=>32832.45}}
{260105=>{:time=>"10:0", :open=>32832.7, :high=>32873.35, :low=>32807.6, :close=>32870.9}}
{260105=>{:time=>"10:15", :open=>32869.4, :high=>32904.85, :low=>32804.45, :close=>32814.95}}
{260105=>{:time=>"10:30", :open=>32813.5, :high=>32849.05, :low=>32804.45, :close=>32822.95}}
{260105=>{:time=>"10:45", :open=>32824.4, :high=>32876.9, :low=>32777.15, :close=>32875.1}}
{260105=>{:time=>"11:0", :open=>32877.4, :high=>32917.35, :low=>32857.35, :close=>32869.75}}
{260105=>{:time=>"11:15", :open=>32869.75, :high=>33032.15, :low=>32866.95, :close=>33007.65}}
{260105=>{:time=>"11:30", :open=>33005.45, :high=>33150.9, :low=>33005.45, :close=>33057.5}}
{260105=>{:time=>"11:45", :open=>33059.05, :high=>33064.75, :low=>33006.0, :close=>33036.3}}
{260105=>{:time=>"12:0", :open=>33036.15, :high=>33072.05, :low=>33030.0, :close=>33053.25}}
{260105=>{:time=>"12:15", :open=>33053.6, :high=>33091.4, :low=>33037.35, :close=>33070.85}}
{260105=>{:time=>"12:30", :open=>33071.85, :high=>33076.6, :low=>32973.8, :close=>32996.7}}
{260105=>{:time=>"12:45", :open=>32991.55, :high=>32995.0, :low=>32915.4, :close=>32942.2}}
{260105=>{:time=>"13:0", :open=>32940.95, :high=>32940.95, :low=>32850.85, :close=>32897.8}}
{260105=>{:time=>"13:15", :open=>32898.7, :high=>32898.7, :low=>32728.9, :close=>32798.35}}
{260105=>{:time=>"13:30", :open=>32797.45, :high=>32845.45, :low=>32753.8, :close=>32818.8}}
{260105=>{:time=>"13:45", :open=>32818.2, :high=>32864.05, :low=>32786.8, :close=>32851.55}}
{260105=>{:time=>"14:0", :open=>32852.55, :high=>32880.8, :low=>32808.95, :close=>32808.95}}
{260105=>{:time=>"14:15", :open=>32804.4, :high=>32853.4, :low=>32804.4, :close=>32819.85}}
{260105=>{:time=>"14:30", :open=>32820.95, :high=>32872.55, :low=>32773.05, :close=>32839.15}}
{260105=>{:time=>"14:45", :open=>32836.95, :high=>32899.7, :low=>32823.3, :close=>32850.2}}
{260105=>{:time=>"15:0", :open=>32850.25, :high=>32906.25, :low=>32838.05, :close=>32885.35}}
