{256265=>{:time=>"9:15", :open=>13946.6, :high=>13965.7, :low=>13899.9, :close=>13907.85}}
{256265=>{:time=>"9:30", :open=>13908.2, :high=>13920.1, :low=>13852.05, :close=>13853.0}}
{256265=>{:time=>"9:45", :open=>13852.0, :high=>13882.2, :low=>13842.8, :close=>13843.8}}
{256265=>{:time=>"10:0", :open=>13845.15, :high=>13870.5, :low=>13827.95, :close=>13855.9}}
{256265=>{:time=>"10:15", :open=>13856.3, :high=>13882.2, :low=>13797.75, :close=>13805.2}}
{256265=>{:time=>"10:30", :open=>13805.8, :high=>13842.8, :low=>13785.95, :close=>13819.65}}
{256265=>{:time=>"10:45", :open=>13820.1, :high=>13847.2, :low=>13803.6, :close=>13843.8}}
{256265=>{:time=>"11:0", :open=>13843.55, :high=>13870.05, :low=>13841.75, :close=>13869.9}}
{256265=>{:time=>"11:15", :open=>13868.2, :high=>13868.3, :low=>13847.0, :close=>13856.95}}
{256265=>{:time=>"11:30", :open=>13856.95, :high=>13857.1, :low=>13808.45, :close=>13811.4}}
{256265=>{:time=>"11:45", :open=>13810.85, :high=>13825.95, :low=>13794.55, :close=>13796.0}}
{256265=>{:time=>"12:0", :open=>13796.25, :high=>13808.9, :low=>13776.8, :close=>13786.95}}
{256265=>{:time=>"12:15", :open=>13786.75, :high=>13827.15, :low=>13780.7, :close=>13810.2}}
{256265=>{:time=>"12:30", :open=>13810.45, :high=>13840.65, :low=>13793.75, :close=>13799.5}}
{256265=>{:time=>"12:45", :open=>13799.1, :high=>13824.2, :low=>13788.2, :close=>13791.95}}
{256265=>{:time=>"13:0", :open=>13791.25, :high=>13799.0, :low=>13757.55, :close=>13767.8}}
{256265=>{:time=>"13:15", :open=>13768.7, :high=>13793.9, :low=>13755.7, :close=>13772.35}}
{256265=>{:time=>"13:30", :open=>13772.9, :high=>13783.35, :low=>13741.45, :close=>13743.95}}
{256265=>{:time=>"13:45", :open=>13743.65, :high=>13766.45, :low=>13730.95, :close=>13756.0}}
{256265=>{:time=>"14:0", :open=>13755.6, :high=>13806.3, :low=>13728.6, :close=>13804.1}}
{256265=>{:time=>"14:15", :open=>13804.0, :high=>13857.6, :low=>13803.2, :close=>13840.2}}
{256265=>{:time=>"14:30", :open=>13840.55, :high=>13873.0, :low=>13794.55, :close=>13794.55}}
{256265=>{:time=>"14:45", :open=>13796.25, :high=>13804.25, :low=>13744.7, :close=>13752.0}}
{256265=>{:time=>"15:0", :open=>13751.5, :high=>13751.5, :low=>13608.2, :close=>13625.6}}
