{260105=>{:time=>"9:15", :open=>29812.3, :high=>30029.75, :low=>29694.95, :close=>29810.55}}
{260105=>{:time=>"9:30", :open=>29810.7, :high=>30049.05, :low=>29808.8, :close=>30014.3}}
{260105=>{:time=>"9:45", :open=>30006.7, :high=>30010.6, :low=>29901.45, :close=>29941.4}}
{260105=>{:time=>"10:0", :open=>29944.75, :high=>30005.1, :low=>29932.5, :close=>29965.35}}
{260105=>{:time=>"10:15", :open=>29967.35, :high=>30137.35, :low=>29909.5, :close=>29944.35}}
{260105=>{:time=>"10:30", :open=>29943.85, :high=>29960.4, :low=>29875.75, :close=>29901.35}}
{260105=>{:time=>"10:45", :open=>29900.85, :high=>30015.25, :low=>29897.45, :close=>29992.75}}
{260105=>{:time=>"11:0", :open=>29995.25, :high=>30050.35, :low=>29958.2, :close=>30002.95}}
{260105=>{:time=>"11:15", :open=>29998.95, :high=>30041.7, :low=>29980.0, :close=>30019.55}}
{260105=>{:time=>"11:30", :open=>30022.15, :high=>30022.15, :low=>29941.55, :close=>29985.1}}
{260105=>{:time=>"11:45", :open=>29985.8, :high=>30008.4, :low=>29957.9, :close=>29998.15}}
{260105=>{:time=>"12:0", :open=>30001.7, :high=>30029.85, :low=>29969.85, :close=>30002.2}}
{260105=>{:time=>"12:15", :open=>30000.8, :high=>30128.4, :low=>29902.35, :close=>29926.6}}
{260105=>{:time=>"12:30", :open=>29927.15, :high=>29955.35, :low=>29821.5, :close=>29858.65}}
{260105=>{:time=>"12:45", :open=>29858.75, :high=>29858.75, :low=>29775.95, :close=>29832.05}}
{260105=>{:time=>"13:0", :open=>29830.9, :high=>29831.05, :low=>29695.2, :close=>29753.6}}
{260105=>{:time=>"13:15", :open=>29750.3, :high=>30066.4, :low=>29749.95, :close=>30043.4}}
{260105=>{:time=>"13:30", :open=>30047.85, :high=>30115.4, :low=>29971.7, :close=>30111.85}}
{260105=>{:time=>"13:45", :open=>30114.1, :high=>30164.75, :low=>29944.0, :close=>29970.75}}
{260105=>{:time=>"14:0", :open=>29967.75, :high=>30081.8, :low=>29910.7, :close=>30050.4}}
{260105=>{:time=>"14:15", :open=>30046.1, :high=>30168.2, :low=>29981.9, :close=>29989.05}}
{260105=>{:time=>"14:30", :open=>29994.45, :high=>30090.35, :low=>29955.3, :close=>30038.7}}
{260105=>{:time=>"14:45", :open=>30039.65, :high=>30101.05, :low=>30004.55, :close=>30101.05}}
{260105=>{:time=>"15:0", :open=>30100.85, :high=>30399.0, :low=>30100.85, :close=>30394.85}}
