{260105=>{:time=>"9:15", :open=>33605.05, :high=>33605.05, :low=>33313.1, :close=>33469.85}}
{260105=>{:time=>"9:30", :open=>33472.1, :high=>33599.25, :low=>33285.65, :close=>33290.65}}
{260105=>{:time=>"9:45", :open=>33284.8, :high=>33399.85, :low=>33231.75, :close=>33270.95}}
{260105=>{:time=>"10:0", :open=>33269.7, :high=>33373.35, :low=>33249.35, :close=>33346.0}}
{260105=>{:time=>"10:15", :open=>33346.3, :high=>33475.4, :low=>33342.95, :close=>33414.2}}
{260105=>{:time=>"10:30", :open=>33410.8, :high=>33459.45, :low=>33335.6, :close=>33420.8}}
{260105=>{:time=>"10:45", :open=>33420.25, :high=>33449.65, :low=>33284.65, :close=>33306.35}}
{260105=>{:time=>"11:0", :open=>33303.3, :high=>33387.3, :low=>33294.2, :close=>33317.25}}
{260105=>{:time=>"11:15", :open=>33314.05, :high=>33352.45, :low=>33201.7, :close=>33297.55}}
{260105=>{:time=>"11:30", :open=>33299.4, :high=>33437.1, :low=>33275.75, :close=>33397.1}}
{260105=>{:time=>"11:45", :open=>33394.95, :high=>33521.0, :low=>33363.55, :close=>33459.0}}
{260105=>{:time=>"12:0", :open=>33456.95, :high=>33514.3, :low=>33417.9, :close=>33462.4}}
{260105=>{:time=>"12:15", :open=>33467.7, :high=>33482.3, :low=>33359.0, :close=>33385.15}}
{260105=>{:time=>"12:30", :open=>33381.55, :high=>33459.1, :low=>33365.15, :close=>33422.7}}
{260105=>{:time=>"12:45", :open=>33421.55, :high=>33436.35, :low=>33289.8, :close=>33401.3}}
{260105=>{:time=>"13:0", :open=>33398.8, :high=>33437.15, :low=>33261.0, :close=>33291.9}}
{260105=>{:time=>"13:15", :open=>33295.0, :high=>33362.0, :low=>33178.15, :close=>33356.3}}
{260105=>{:time=>"13:30", :open=>33353.95, :high=>33440.3, :low=>33331.7, :close=>33369.85}}
{260105=>{:time=>"13:45", :open=>33366.25, :high=>33488.5, :low=>33366.25, :close=>33462.1}}
{260105=>{:time=>"14:0", :open=>33461.9, :high=>33527.25, :low=>33397.8, :close=>33417.9}}
{260105=>{:time=>"14:15", :open=>33417.1, :high=>33516.75, :low=>33336.6, :close=>33427.15}}
{260105=>{:time=>"14:30", :open=>33427.7, :high=>33466.3, :low=>33317.75, :close=>33324.45}}
{260105=>{:time=>"14:45", :open=>33323.6, :high=>33401.65, :low=>33252.6, :close=>33320.75}}
{260105=>{:time=>"15:0", :open=>33321.35, :high=>33359.85, :low=>33221.05, :close=>33239.35}}
