{256265=>{:time=>"9:15", :open=>14855.5, :high=>14870.1, :low=>14809.3, :close=>14831.25}}
{256265=>{:time=>"9:30", :open=>14832.3, :high=>14860.0, :low=>14830.6, :close=>14859.25}}
{256265=>{:time=>"9:45", :open=>14859.55, :high=>14861.25, :low=>14816.25, :close=>14824.1}}
{256265=>{:time=>"10:0", :open=>14823.6, :high=>14838.7, :low=>14804.7, :close=>14807.0}}
{256265=>{:time=>"10:15", :open=>14807.85, :high=>14814.25, :low=>14788.25, :close=>14801.25}}
{256265=>{:time=>"10:30", :open=>14801.2, :high=>14801.65, :low=>14758.2, :close=>14770.4}}
{256265=>{:time=>"10:45", :open=>14769.7, :high=>14808.25, :low=>14769.55, :close=>14791.05}}
{256265=>{:time=>"11:0", :open=>14790.25, :high=>14800.85, :low=>14782.75, :close=>14784.85}}
{256265=>{:time=>"11:15", :open=>14785.05, :high=>14791.25, :low=>14770.15, :close=>14779.2}}
{256265=>{:time=>"11:30", :open=>14779.2, :high=>14792.35, :low=>14768.75, :close=>14778.1}}
{256265=>{:time=>"11:45", :open=>14777.65, :high=>14805.65, :low=>14773.9, :close=>14805.65}}
{256265=>{:time=>"12:0", :open=>14806.5, :high=>14828.45, :low=>14795.2, :close=>14825.55}}
{256265=>{:time=>"12:15", :open=>14825.95, :high=>14830.6, :low=>14803.65, :close=>14811.3}}
{256265=>{:time=>"12:30", :open=>14811.55, :high=>14812.85, :low=>14787.55, :close=>14800.0}}
{256265=>{:time=>"12:45", :open=>14800.45, :high=>14800.45, :low=>14761.3, :close=>14771.45}}
{256265=>{:time=>"13:0", :open=>14771.0, :high=>14771.0, :low=>14706.65, :close=>14708.85}}
{256265=>{:time=>"13:15", :open=>14707.7, :high=>14716.9, :low=>14624.85, :close=>14636.5}}
{256265=>{:time=>"13:30", :open=>14635.2, :high=>14640.2, :low=>14578.3, :close=>14613.6}}
{256265=>{:time=>"13:45", :open=>14612.0, :high=>14648.95, :low=>14572.15, :close=>14572.35}}
{256265=>{:time=>"14:0", :open=>14572.1, :high=>14586.8, :low=>14503.0, :close=>14508.5}}
{256265=>{:time=>"14:15", :open=>14506.0, :high=>14528.05, :low=>14479.35, :close=>14516.7}}
{256265=>{:time=>"14:30", :open=>14517.65, :high=>14564.15, :low=>14498.35, :close=>14512.3}}
{256265=>{:time=>"14:45", :open=>14511.5, :high=>14546.95, :low=>14494.0, :close=>14525.85}}
{256265=>{:time=>"15:0", :open=>14526.15, :high=>14586.2, :low=>14500.5, :close=>14586.1}}
