{260105=>{:time=>"09:15", :open=>21591, :high=>21791, :low=>21400, :close=>21791}}
{260105=>{:time=>"14:45", :open=>35702.1, :high=>35814.8, :low=>35699.3, :close=>35726.35}}
{260105=>{:time=>"15:0", :open=>35727.2, :high=>35938.35, :low=>35727.2, :close=>35932.85}}
