{260105=>{:time=>"9:15", :open=>32636.9, :high=>32636.9, :low=>32342.85, :close=>32459.15}}
{260105=>{:time=>"9:30", :open=>32457.55, :high=>32685.6, :low=>32424.15, :close=>32660.2}}
{260105=>{:time=>"9:45", :open=>32667.05, :high=>32723.05, :low=>32556.05, :close=>32664.3}}
{260105=>{:time=>"10:0", :open=>32668.1, :high=>32968.5, :low=>32654.9, :close=>32878.55}}
{260105=>{:time=>"10:15", :open=>32880.7, :high=>32920.25, :low=>32810.4, :close=>32859.35}}
{260105=>{:time=>"10:30", :open=>32858.15, :high=>32942.45, :low=>32818.35, :close=>32820.5}}
{260105=>{:time=>"10:45", :open=>32822.5, :high=>32827.2, :low=>32740.8, :close=>32769.9}}
{260105=>{:time=>"11:0", :open=>32770.45, :high=>32804.95, :low=>32608.2, :close=>32643.95}}
{260105=>{:time=>"11:15", :open=>32644.6, :high=>32696.65, :low=>32603.55, :close=>32647.05}}
{260105=>{:time=>"11:30", :open=>32648.15, :high=>32751.9, :low=>32633.1, :close=>32721.0}}
{260105=>{:time=>"11:45", :open=>32728.35, :high=>32769.5, :low=>32688.85, :close=>32746.3}}
{260105=>{:time=>"12:0", :open=>32750.5, :high=>32753.75, :low=>32656.75, :close=>32672.35}}
{260105=>{:time=>"12:15", :open=>32673.95, :high=>32809.85, :low=>32669.55, :close=>32766.8}}
{260105=>{:time=>"12:30", :open=>32767.6, :high=>32788.65, :low=>32733.65, :close=>32756.35}}
{260105=>{:time=>"12:45", :open=>32756.0, :high=>32829.5, :low=>32664.9, :close=>32711.8}}
{260105=>{:time=>"13:0", :open=>32711.35, :high=>32734.15, :low=>32649.1, :close=>32685.75}}
{260105=>{:time=>"13:15", :open=>32685.8, :high=>32716.85, :low=>32668.3, :close=>32689.0}}
{260105=>{:time=>"13:30", :open=>32686.9, :high=>32698.85, :low=>32535.65, :close=>32549.7}}
{260105=>{:time=>"13:45", :open=>32544.0, :high=>32559.65, :low=>32461.0, :close=>32480.2}}
{260105=>{:time=>"14:0", :open=>32477.75, :high=>32529.15, :low=>32418.35, :close=>32464.2}}
{260105=>{:time=>"14:15", :open=>32463.65, :high=>32560.3, :low=>32457.7, :close=>32529.95}}
{260105=>{:time=>"14:30", :open=>32531.6, :high=>32538.85, :low=>32451.9, :close=>32474.65}}
{260105=>{:time=>"14:45", :open=>32475.65, :high=>32523.65, :low=>32438.25, :close=>32484.35}}
{260105=>{:time=>"15:0", :open=>32483.8, :high=>32494.9, :low=>32417.25, :close=>32445.35}}
