{256265=>{:time=>"9:15", :open=>14798.4, :high=>14814.05, :low=>14778.55, :close=>14789.35}}
{256265=>{:time=>"9:30", :open=>14789.9, :high=>14795.35, :low=>14761.25, :close=>14774.95}}
{256265=>{:time=>"9:45", :open=>14774.2, :high=>14788.3, :low=>14763.65, :close=>14779.3}}
{256265=>{:time=>"10:0", :open=>14778.8, :high=>14787.75, :low=>14765.15, :close=>14766.6}}
{256265=>{:time=>"10:15", :open=>14765.9, :high=>14782.75, :low=>14756.35, :close=>14757.45}}
{256265=>{:time=>"10:30", :open=>14757.3, :high=>14761.65, :low=>14739.05, :close=>14742.7}}
{256265=>{:time=>"10:45", :open=>14743.1, :high=>14743.35, :low=>14697.25, :close=>14712.8}}
{256265=>{:time=>"11:0", :open=>14713.8, :high=>14727.85, :low=>14692.75, :close=>14727.6}}
{256265=>{:time=>"11:15", :open=>14727.75, :high=>14731.45, :low=>14705.4, :close=>14713.95}}
{256265=>{:time=>"11:30", :open=>14713.85, :high=>14723.45, :low=>14710.95, :close=>14719.55}}
{256265=>{:time=>"11:45", :open=>14719.6, :high=>14747.1, :low=>14715.9, :close=>14735.15}}
{256265=>{:time=>"12:0", :open=>14734.7, :high=>14760.4, :low=>14730.3, :close=>14753.4}}
{256265=>{:time=>"12:15", :open=>14753.6, :high=>14757.45, :low=>14729.3, :close=>14742.95}}
{256265=>{:time=>"12:30", :open=>14742.95, :high=>14750.35, :low=>14736.5, :close=>14745.7}}
{256265=>{:time=>"12:45", :open=>14745.95, :high=>14766.1, :low=>14727.5, :close=>14761.1}}
{256265=>{:time=>"13:0", :open=>14761.3, :high=>14791.75, :low=>14752.85, :close=>14790.0}}
{256265=>{:time=>"13:15", :open=>14791.7, :high=>14833.7, :low=>14791.7, :close=>14820.4}}
{256265=>{:time=>"13:30", :open=>14819.65, :high=>14828.45, :low=>14804.15, :close=>14815.15}}
{256265=>{:time=>"13:45", :open=>14815.45, :high=>14822.5, :low=>14799.1, :close=>14807.9}}
{256265=>{:time=>"14:0", :open=>14808.75, :high=>14842.7, :low=>14808.35, :close=>14842.05}}
{256265=>{:time=>"14:15", :open=>14842.8, :high=>14861.7, :low=>14840.2, :close=>14849.3}}
{256265=>{:time=>"14:30", :open=>14848.9, :high=>14867.4, :low=>14841.75, :close=>14847.65}}
{256265=>{:time=>"14:45", :open=>14847.75, :high=>14864.75, :low=>14841.7, :close=>14846.0}}
{256265=>{:time=>"15:0", :open=>14845.55, :high=>14878.0, :low=>14842.05, :close=>14875.35}}
