{260105=>{:time=>"9:15", :open=>31507.15, :high=>31603.35, :low=>31459.15, :close=>31515.65}}
{260105=>{:time=>"9:30", :open=>31516.55, :high=>31561.15, :low=>31136.3, :close=>31204.5}}
{260105=>{:time=>"9:45", :open=>31205.6, :high=>31309.55, :low=>31019.0, :close=>31297.55}}
{260105=>{:time=>"10:0", :open=>31299.7, :high=>31554.9, :low=>31263.75, :close=>31468.85}}
{260105=>{:time=>"10:15", :open=>31471.75, :high=>31565.55, :low=>31471.75, :close=>31532.55}}
{260105=>{:time=>"10:30", :open=>31532.2, :high=>31694.2, :low=>31506.15, :close=>31533.0}}
{260105=>{:time=>"10:45", :open=>31531.05, :high=>31626.3, :low=>31452.25, :close=>31576.1}}
{260105=>{:time=>"11:0", :open=>31572.95, :high=>31638.75, :low=>31549.5, :close=>31631.5}}
{260105=>{:time=>"11:15", :open=>31635.3, :high=>31648.2, :low=>31430.25, :close=>31498.6}}
{260105=>{:time=>"11:30", :open=>31497.85, :high=>31567.45, :low=>31453.55, :close=>31461.4}}
{260105=>{:time=>"11:45", :open=>31460.0, :high=>31460.0, :low=>31347.05, :close=>31351.3}}
{260105=>{:time=>"12:0", :open=>31349.35, :high=>31495.0, :low=>31328.4, :close=>31449.2}}
{260105=>{:time=>"12:15", :open=>31447.45, :high=>31485.4, :low=>31391.3, :close=>31409.9}}
{260105=>{:time=>"12:30", :open=>31410.0, :high=>31537.9, :low=>31410.0, :close=>31502.3}}
{260105=>{:time=>"12:45", :open=>31499.25, :high=>31545.75, :low=>31460.7, :close=>31529.85}}
{260105=>{:time=>"13:0", :open=>31530.05, :high=>31578.4, :low=>31491.0, :close=>31570.9}}
{260105=>{:time=>"13:15", :open=>31572.05, :high=>31623.25, :low=>31505.0, :close=>31616.9}}
{260105=>{:time=>"13:30", :open=>31617.6, :high=>31617.6, :low=>31454.65, :close=>31474.35}}
{260105=>{:time=>"13:45", :open=>31473.05, :high=>31531.15, :low=>31398.35, :close=>31431.45}}
{260105=>{:time=>"14:0", :open=>31433.7, :high=>31488.75, :low=>31176.2, :close=>31297.3}}
{260105=>{:time=>"14:15", :open=>31296.75, :high=>31298.1, :low=>31072.9, :close=>31086.4}}
{260105=>{:time=>"14:30", :open=>31082.95, :high=>31249.65, :low=>31037.0, :close=>31207.0}}
{260105=>{:time=>"14:45", :open=>31207.75, :high=>31227.95, :low=>31119.4, :close=>31130.45}}
{260105=>{:time=>"15:0", :open=>31134.55, :high=>31307.05, :low=>31129.65, :close=>31246.35}}
