{260105=>{:time=>"9:15", :open=>31835.05, :high=>31837.6, :low=>31734.2, :close=>31837.6}}
{260105=>{:time=>"9:30", :open=>31834.75, :high=>31938.2, :low=>31831.2, :close=>31913.95}}
{260105=>{:time=>"9:45", :open=>31909.6, :high=>31926.05, :low=>31839.35, :close=>31857.15}}
{260105=>{:time=>"10:0", :open=>31860.45, :high=>31911.95, :low=>31837.7, :close=>31844.55}}
{260105=>{:time=>"10:15", :open=>31842.85, :high=>31870.8, :low=>31819.85, :close=>31838.95}}
{260105=>{:time=>"10:30", :open=>31838.15, :high=>31877.0, :low=>31816.3, :close=>31875.7}}
{260105=>{:time=>"10:45", :open=>31876.85, :high=>31878.45, :low=>31817.8, :close=>31826.85}}
{260105=>{:time=>"11:0", :open=>31824.55, :high=>31923.0, :low=>31818.65, :close=>31904.9}}
{260105=>{:time=>"11:15", :open=>31905.65, :high=>31921.9, :low=>31874.9, :close=>31887.65}}
{260105=>{:time=>"11:30", :open=>31885.85, :high=>31944.8, :low=>31881.85, :close=>31929.3}}
{260105=>{:time=>"11:45", :open=>31929.0, :high=>31992.3, :low=>31903.2, :close=>31968.25}}
{260105=>{:time=>"12:0", :open=>31970.85, :high=>32144.9, :low=>31964.0, :close=>32118.75}}
{260105=>{:time=>"12:15", :open=>32123.15, :high=>32207.95, :low=>32119.2, :close=>32207.95}}
{260105=>{:time=>"12:30", :open=>32208.25, :high=>32324.3, :low=>32184.55, :close=>32313.3}}
{260105=>{:time=>"12:45", :open=>32316.55, :high=>32344.6, :low=>32265.9, :close=>32298.7}}
{260105=>{:time=>"13:0", :open=>32299.1, :high=>32368.3, :low=>32290.95, :close=>32320.55}}
{260105=>{:time=>"13:15", :open=>32318.5, :high=>32348.65, :low=>32281.95, :close=>32294.95}}
{260105=>{:time=>"13:30", :open=>32296.0, :high=>32340.5, :low=>32293.2, :close=>32326.9}}
{260105=>{:time=>"13:45", :open=>32328.1, :high=>32341.85, :low=>32246.95, :close=>32307.2}}
{260105=>{:time=>"14:0", :open=>32306.2, :high=>32325.7, :low=>32276.3, :close=>32322.65}}
{260105=>{:time=>"14:15", :open=>32319.85, :high=>32328.9, :low=>32271.85, :close=>32300.55}}
{260105=>{:time=>"14:30", :open=>32302.7, :high=>32329.45, :low=>32246.2, :close=>32320.55}}
{260105=>{:time=>"14:45", :open=>32323.3, :high=>32358.6, :low=>32307.35, :close=>32331.35}}
{260105=>{:time=>"15:0", :open=>32330.2, :high=>32393.95, :low=>32330.2, :close=>32346.65}}
