{260105=>{:time=>"9:15", :open=>32316.65, :high=>32463.4, :low=>32149.8, :close=>32347.2}}
{260105=>{:time=>"9:30", :open=>32352.7, :high=>32514.15, :low=>32352.7, :close=>32431.9}}
{260105=>{:time=>"9:45", :open=>32432.65, :high=>32557.4, :low=>32379.95, :close=>32538.15}}
{260105=>{:time=>"10:0", :open=>32536.9, :high=>32594.1, :low=>32449.9, :close=>32459.7}}
{260105=>{:time=>"10:15", :open=>32461.6, :high=>32487.2, :low=>32401.85, :close=>32483.3}}
{260105=>{:time=>"10:30", :open=>32482.3, :high=>32508.6, :low=>32416.8, :close=>32483.65}}
{260105=>{:time=>"10:45", :open=>32484.7, :high=>32513.0, :low=>32423.05, :close=>32453.7}}
{260105=>{:time=>"11:0", :open=>32454.85, :high=>32593.5, :low=>32451.3, :close=>32577.5}}
{260105=>{:time=>"11:15", :open=>32576.5, :high=>32579.9, :low=>32484.35, :close=>32489.55}}
{260105=>{:time=>"11:30", :open=>32489.3, :high=>32553.95, :low=>32461.65, :close=>32527.0}}
{260105=>{:time=>"11:45", :open=>32528.85, :high=>32551.35, :low=>32456.85, :close=>32488.75}}
{260105=>{:time=>"12:0", :open=>32495.0, :high=>32533.95, :low=>32468.5, :close=>32488.3}}
{260105=>{:time=>"12:15", :open=>32485.55, :high=>32516.5, :low=>32362.9, :close=>32410.25}}
{260105=>{:time=>"12:30", :open=>32404.5, :high=>32404.5, :low=>32334.1, :close=>32368.1}}
{260105=>{:time=>"12:45", :open=>32369.1, :high=>32464.25, :low=>32369.1, :close=>32464.25}}
{260105=>{:time=>"13:0", :open=>32462.3, :high=>32475.7, :low=>32364.05, :close=>32372.75}}
{260105=>{:time=>"13:15", :open=>32383.75, :high=>32391.5, :low=>32299.8, :close=>32377.05}}
{260105=>{:time=>"13:30", :open=>32376.7, :high=>32388.75, :low=>32279.3, :close=>32299.55}}
{260105=>{:time=>"13:45", :open=>32299.2, :high=>32480.45, :low=>32288.4, :close=>32403.8}}
{260105=>{:time=>"14:0", :open=>32402.15, :high=>32442.7, :low=>32330.6, :close=>32349.7}}
{260105=>{:time=>"14:15", :open=>32349.3, :high=>32352.15, :low=>32217.15, :close=>32248.3}}
{260105=>{:time=>"14:30", :open=>32245.1, :high=>32289.25, :low=>32178.45, :close=>32241.95}}
{260105=>{:time=>"14:45", :open=>32245.15, :high=>32347.5, :low=>32235.05, :close=>32248.95}}
{260105=>{:time=>"15:0", :open=>32250.7, :high=>32317.15, :low=>32249.8, :close=>32260.0}}
