{256265=>{:time=>"9:15", :open=>14737.0, :high=>14737.0, :low=>14574.55, :close=>14701.8}}
{256265=>{:time=>"9:30", :open=>14703.2, :high=>14757.35, :low=>14700.75, :close=>14729.8}}
{256265=>{:time=>"9:45", :open=>14728.1, :high=>14744.0, :low=>14707.75, :close=>14723.3}}
{256265=>{:time=>"10:0", :open=>14722.9, :high=>14736.25, :low=>14699.7, :close=>14721.95}}
{256265=>{:time=>"10:15", :open=>14721.95, :high=>14722.05, :low=>14671.15, :close=>14700.55}}
{256265=>{:time=>"10:30", :open=>14697.25, :high=>14738.5, :low=>14690.95, :close=>14734.95}}
{256265=>{:time=>"10:45", :open=>14735.55, :high=>14742.55, :low=>14724.3, :close=>14732.85}}
{256265=>{:time=>"11:0", :open=>14732.55, :high=>14763.8, :low=>14724.45, :close=>14751.65}}
{256265=>{:time=>"11:15", :open=>14751.55, :high=>14778.35, :low=>14751.55, :close=>14756.5}}
{256265=>{:time=>"11:30", :open=>14756.55, :high=>14760.15, :low=>14730.65, :close=>14732.6}}
{256265=>{:time=>"11:45", :open=>14732.15, :high=>14737.5, :low=>14706.85, :close=>14723.05}}
{256265=>{:time=>"12:0", :open=>14723.1, :high=>14726.15, :low=>14711.25, :close=>14722.9}}
{256265=>{:time=>"12:15", :open=>14722.65, :high=>14736.8, :low=>14696.9, :close=>14704.95}}
{256265=>{:time=>"12:30", :open=>14705.35, :high=>14715.45, :low=>14633.35, :close=>14633.35}}
{256265=>{:time=>"12:45", :open=>14633.05, :high=>14673.95, :low=>14609.8, :close=>14663.5}}
{256265=>{:time=>"13:0", :open=>14664.45, :high=>14699.5, :low=>14649.65, :close=>14688.4}}
{256265=>{:time=>"13:15", :open=>14691.95, :high=>14696.8, :low=>14650.8, :close=>14652.35}}
{256265=>{:time=>"13:30", :open=>14651.3, :high=>14676.4, :low=>14632.85, :close=>14639.55}}
{256265=>{:time=>"13:45", :open=>14638.85, :high=>14666.65, :low=>14627.4, :close=>14638.1}}
{256265=>{:time=>"14:0", :open=>14638.0, :high=>14664.15, :low=>14637.55, :close=>14654.3}}
{256265=>{:time=>"14:15", :open=>14654.05, :high=>14673.15, :low=>14642.5, :close=>14660.1}}
{256265=>{:time=>"14:30", :open=>14661.1, :high=>14664.0, :low=>14641.35, :close=>14650.25}}
{256265=>{:time=>"14:45", :open=>14650.35, :high=>14672.75, :low=>14644.15, :close=>14653.9}}
{256265=>{:time=>"15:0", :open=>14654.3, :high=>14680.95, :low=>14653.4, :close=>14680.8}}
