{260105=>{:time=>"9:15", :open=>32228.95, :high=>32442.9, :low=>32158.8, :close=>32207.4}}
{260105=>{:time=>"9:30", :open=>32202.35, :high=>32308.85, :low=>32177.95, :close=>32290.55}}
{260105=>{:time=>"9:45", :open=>32294.1, :high=>32365.25, :low=>32258.35, :close=>32322.45}}
{260105=>{:time=>"10:0", :open=>32322.6, :high=>32382.6, :low=>32315.6, :close=>32353.65}}
{260105=>{:time=>"10:15", :open=>32352.25, :high=>32377.2, :low=>32300.55, :close=>32372.15}}
{260105=>{:time=>"10:30", :open=>32370.0, :high=>32448.9, :low=>32350.35, :close=>32448.9}}
{260105=>{:time=>"10:45", :open=>32450.35, :high=>32516.75, :low=>32415.1, :close=>32514.55}}
{260105=>{:time=>"11:0", :open=>32510.15, :high=>32541.85, :low=>32481.1, :close=>32517.15}}
{260105=>{:time=>"11:15", :open=>32520.3, :high=>32525.9, :low=>32456.5, :close=>32500.5}}
{260105=>{:time=>"11:30", :open=>32503.3, :high=>32530.9, :low=>32455.1, :close=>32509.8}}
{260105=>{:time=>"11:45", :open=>32508.25, :high=>32604.75, :low=>32498.0, :close=>32599.9}}
{260105=>{:time=>"12:0", :open=>32595.3, :high=>32642.45, :low=>32594.3, :close=>32625.65}}
{260105=>{:time=>"12:15", :open=>32626.1, :high=>32649.85, :low=>32546.2, :close=>32572.15}}
{260105=>{:time=>"12:30", :open=>32573.85, :high=>32612.15, :low=>32542.85, :close=>32588.2}}
{260105=>{:time=>"12:45", :open=>32584.9, :high=>32623.7, :low=>32547.6, :close=>32561.55}}
{260105=>{:time=>"13:0", :open=>32560.6, :high=>32596.4, :low=>32551.75, :close=>32564.3}}
{260105=>{:time=>"13:15", :open=>32565.3, :high=>32607.3, :low=>32530.95, :close=>32559.55}}
{260105=>{:time=>"13:30", :open=>32556.4, :high=>32585.35, :low=>32545.4, :close=>32568.05}}
{260105=>{:time=>"13:45", :open=>32567.65, :high=>32655.15, :low=>32566.3, :close=>32640.95}}
{260105=>{:time=>"14:0", :open=>32640.3, :high=>32712.6, :low=>32629.65, :close=>32688.5}}
{260105=>{:time=>"14:15", :open=>32689.65, :high=>32715.95, :low=>32658.05, :close=>32715.95}}
{260105=>{:time=>"14:30", :open=>32712.15, :high=>32752.95, :low=>32696.25, :close=>32718.0}}
{260105=>{:time=>"14:45", :open=>32721.35, :high=>32728.35, :low=>32664.25, :close=>32669.25}}
{260105=>{:time=>"15:0", :open=>32670.0, :high=>32748.65, :low=>32654.25, :close=>32748.65}}
