{256265=>{:time=>"9:15", :open=>14882.65, :high=>14882.65, :low=>14806.8, :close=>14848.85}}
{256265=>{:time=>"9:30", :open=>14849.5, :high=>14891.2, :low=>14838.3, :close=>14879.8}}
{256265=>{:time=>"9:45", :open=>14880.6, :high=>14894.85, :low=>14841.65, :close=>14867.2}}
{256265=>{:time=>"10:0", :open=>14867.85, :high=>14917.85, :low=>14864.7, :close=>14905.7}}
{256265=>{:time=>"10:15", :open=>14906.25, :high=>14913.05, :low=>14882.75, :close=>14887.55}}
{256265=>{:time=>"10:30", :open=>14886.85, :high=>14901.9, :low=>14875.6, :close=>14875.6}}
{256265=>{:time=>"10:45", :open=>14875.65, :high=>14884.55, :low=>14860.6, :close=>14868.6}}
{256265=>{:time=>"11:0", :open=>14868.45, :high=>14878.35, :low=>14836.0, :close=>14846.35}}
{256265=>{:time=>"11:15", :open=>14845.9, :high=>14864.85, :low=>14832.6, :close=>14846.8}}
{256265=>{:time=>"11:30", :open=>14843.0, :high=>14866.15, :low=>14836.25, :close=>14864.3}}
{256265=>{:time=>"11:45", :open=>14865.15, :high=>14877.3, :low=>14850.2, :close=>14875.3}}
{256265=>{:time=>"12:0", :open=>14876.2, :high=>14876.2, :low=>14848.35, :close=>14853.2}}
{256265=>{:time=>"12:15", :open=>14853.25, :high=>14882.85, :low=>14852.4, :close=>14872.55}}
{256265=>{:time=>"12:30", :open=>14872.9, :high=>14884.55, :low=>14865.9, :close=>14874.7}}
{256265=>{:time=>"12:45", :open=>14875.05, :high=>14890.3, :low=>14854.55, :close=>14867.85}}
{256265=>{:time=>"13:0", :open=>14867.55, :high=>14875.75, :low=>14849.4, :close=>14861.75}}
{256265=>{:time=>"13:15", :open=>14861.9, :high=>14874.05, :low=>14855.6, :close=>14866.0}}
{256265=>{:time=>"13:30", :open=>14865.8, :high=>14869.2, :low=>14814.4, :close=>14816.95}}
{256265=>{:time=>"13:45", :open=>14816.2, :high=>14822.8, :low=>14786.15, :close=>14807.85}}
{256265=>{:time=>"14:0", :open=>14807.7, :high=>14830.35, :low=>14791.7, :close=>14822.1}}
{256265=>{:time=>"14:15", :open=>14822.6, :high=>14865.7, :low=>14821.45, :close=>14852.45}}
{256265=>{:time=>"14:30", :open=>14852.65, :high=>14853.0, :low=>14826.45, :close=>14844.9}}
{256265=>{:time=>"14:45", :open=>14845.3, :high=>14858.2, :low=>14835.75, :close=>14847.95}}
{256265=>{:time=>"15:0", :open=>14848.5, :high=>14850.85, :low=>14820.4, :close=>14832.75}}
