{260105=>{:time=>"9:15", :open=>32915.65, :high=>32915.65, :low=>32343.1, :close=>32815.2}}
{260105=>{:time=>"9:30", :open=>32820.1, :high=>33004.4, :low=>32786.1, :close=>32863.6}}
{260105=>{:time=>"9:45", :open=>32859.15, :high=>32886.4, :low=>32740.1, :close=>32814.85}}
{260105=>{:time=>"10:0", :open=>32813.1, :high=>32883.9, :low=>32780.65, :close=>32798.95}}
{260105=>{:time=>"10:15", :open=>32799.4, :high=>32802.05, :low=>32592.85, :close=>32702.2}}
{260105=>{:time=>"10:30", :open=>32702.5, :high=>32870.1, :low=>32668.0, :close=>32850.95}}
{260105=>{:time=>"10:45", :open=>32850.0, :high=>32861.85, :low=>32783.6, :close=>32801.75}}
{260105=>{:time=>"11:0", :open=>32798.8, :high=>32922.6, :low=>32760.55, :close=>32868.8}}
{260105=>{:time=>"11:15", :open=>32873.65, :high=>32945.1, :low=>32836.65, :close=>32860.95}}
{260105=>{:time=>"11:30", :open=>32860.65, :high=>32878.4, :low=>32768.6, :close=>32775.0}}
{260105=>{:time=>"11:45", :open=>32774.75, :high=>32816.15, :low=>32714.1, :close=>32780.8}}
{260105=>{:time=>"12:0", :open=>32780.15, :high=>32797.55, :low=>32747.2, :close=>32776.45}}
{260105=>{:time=>"12:15", :open=>32777.2, :high=>32829.95, :low=>32651.2, :close=>32683.2}}
{260105=>{:time=>"12:30", :open=>32683.75, :high=>32715.2, :low=>32430.3, :close=>32443.45}}
{260105=>{:time=>"12:45", :open=>32445.4, :high=>32559.8, :low=>32390.1, :close=>32516.45}}
{260105=>{:time=>"13:0", :open=>32520.0, :high=>32670.8, :low=>32469.4, :close=>32612.4}}
{260105=>{:time=>"13:15", :open=>32610.3, :high=>32635.55, :low=>32470.9, :close=>32473.15}}
{260105=>{:time=>"13:30", :open=>32471.6, :high=>32561.75, :low=>32439.35, :close=>32460.25}}
{260105=>{:time=>"13:45", :open=>32457.95, :high=>32539.25, :low=>32423.6, :close=>32447.55}}
{260105=>{:time=>"14:0", :open=>32448.55, :high=>32547.9, :low=>32448.45, :close=>32470.55}}
{260105=>{:time=>"14:15", :open=>32468.9, :high=>32518.55, :low=>32407.45, :close=>32487.3}}
{260105=>{:time=>"14:30", :open=>32489.2, :high=>32491.15, :low=>32417.05, :close=>32454.65}}
{260105=>{:time=>"14:45", :open=>32455.7, :high=>32540.1, :low=>32440.35, :close=>32451.8}}
{260105=>{:time=>"15:0", :open=>32453.1, :high=>32515.55, :low=>32419.5, :close=>32500.8}}
