{256265=>{:time=>"9:15", :open=>14789.7, :high=>14830.3, :low=>14774.3, :close=>14827.75}}
{256265=>{:time=>"9:30", :open=>14827.05, :high=>14835.45, :low=>14816.8, :close=>14822.2}}
{256265=>{:time=>"9:45", :open=>14824.0, :high=>14846.7, :low=>14818.7, :close=>14840.05}}
{256265=>{:time=>"10:0", :open=>14840.5, :high=>14847.6, :low=>14835.5, :close=>14846.4}}
{256265=>{:time=>"10:15", :open=>14845.85, :high=>14848.85, :low=>14826.05, :close=>14829.25}}
{256265=>{:time=>"10:30", :open=>14829.1, :high=>14843.3, :low=>14827.2, :close=>14837.7}}
{256265=>{:time=>"10:45", :open=>14837.95, :high=>14840.65, :low=>14830.75, :close=>14838.85}}
{256265=>{:time=>"11:0", :open=>14839.25, :high=>14842.8, :low=>14829.4, :close=>14831.35}}
{256265=>{:time=>"11:15", :open=>14831.75, :high=>14861.8, :low=>14831.35, :close=>14858.0}}
{256265=>{:time=>"11:30", :open=>14858.2, :high=>14885.3, :low=>14857.7, :close=>14875.35}}
{256265=>{:time=>"11:45", :open=>14875.65, :high=>14884.45, :low=>14867.75, :close=>14872.55}}
{256265=>{:time=>"12:0", :open=>14872.2, :high=>14889.8, :low=>14872.2, :close=>14883.75}}
{256265=>{:time=>"12:15", :open=>14883.45, :high=>14899.35, :low=>14880.35, :close=>14897.6}}
{256265=>{:time=>"12:30", :open=>14897.6, :high=>14899.45, :low=>14871.75, :close=>14877.65}}
{256265=>{:time=>"12:45", :open=>14876.9, :high=>14877.9, :low=>14850.0, :close=>14865.2}}
{256265=>{:time=>"13:0", :open=>14865.2, :high=>14865.25, :low=>14844.55, :close=>14849.45}}
{256265=>{:time=>"13:15", :open=>14849.3, :high=>14849.3, :low=>14803.05, :close=>14818.45}}
{256265=>{:time=>"13:30", :open=>14819.0, :high=>14830.55, :low=>14807.3, :close=>14824.35}}
{256265=>{:time=>"13:45", :open=>14824.85, :high=>14839.25, :low=>14816.95, :close=>14837.5}}
{256265=>{:time=>"14:0", :open=>14838.0, :high=>14844.55, :low=>14830.15, :close=>14831.85}}
{256265=>{:time=>"14:15", :open=>14831.0, :high=>14846.15, :low=>14830.7, :close=>14836.55}}
{256265=>{:time=>"14:30", :open=>14836.45, :high=>14852.05, :low=>14823.9, :close=>14839.35}}
{256265=>{:time=>"14:45", :open=>14838.85, :high=>14851.85, :low=>14832.35, :close=>14836.5}}
{256265=>{:time=>"15:0", :open=>14836.95, :high=>14856.9, :low=>14835.75, :close=>14855.1}}
