{260105=>{:time=>"9:15", :open=>34088.4, :high=>34088.4, :low=>33754.2, :close=>33873.6}}
{260105=>{:time=>"9:30", :open=>33882.1, :high=>33987.9, :low=>33854.35, :close=>33963.9}}
{260105=>{:time=>"9:45", :open=>33962.15, :high=>34145.8, :low=>33961.7, :close=>34001.65}}
{260105=>{:time=>"10:0", :open=>34001.05, :high=>34030.35, :low=>33907.7, :close=>33994.7}}
{260105=>{:time=>"10:15", :open=>33996.85, :high=>34005.0, :low=>33859.65, :close=>33877.2}}
{260105=>{:time=>"10:30", :open=>33878.15, :high=>33937.25, :low=>33820.75, :close=>33851.9}}
{260105=>{:time=>"10:45", :open=>33849.95, :high=>33862.2, :low=>33763.85, :close=>33806.9}}
{260105=>{:time=>"11:0", :open=>33804.8, :high=>33890.25, :low=>33734.7, :close=>33847.7}}
{260105=>{:time=>"11:15", :open=>33847.4, :high=>33875.45, :low=>33770.5, :close=>33791.1}}
{260105=>{:time=>"11:30", :open=>33792.4, :high=>33931.65, :low=>33766.4, :close=>33858.15}}
{260105=>{:time=>"11:45", :open=>33859.4, :high=>33969.85, :low=>33826.85, :close=>33907.7}}
{260105=>{:time=>"12:0", :open=>33906.0, :high=>33913.35, :low=>33812.4, :close=>33819.5}}
{260105=>{:time=>"12:15", :open=>33817.5, :high=>33817.5, :low=>33608.05, :close=>33640.9}}
{260105=>{:time=>"12:30", :open=>33641.05, :high=>33661.75, :low=>33523.75, :close=>33523.75}}
{260105=>{:time=>"12:45", :open=>33521.8, :high=>33616.25, :low=>33501.95, :close=>33552.55}}
{260105=>{:time=>"13:0", :open=>33553.55, :high=>33554.5, :low=>33416.65, :close=>33501.3}}
{260105=>{:time=>"13:15", :open=>33499.4, :high=>33528.8, :low=>33390.0, :close=>33467.95}}
{260105=>{:time=>"13:30", :open=>33469.35, :high=>33594.75, :low=>33424.2, :close=>33552.1}}
{260105=>{:time=>"13:45", :open=>33553.55, :high=>33612.65, :low=>33409.25, :close=>33468.75}}
{260105=>{:time=>"14:0", :open=>33467.9, :high=>33643.2, :low=>33422.45, :close=>33566.55}}
{260105=>{:time=>"14:15", :open=>33565.35, :high=>33652.15, :low=>33471.4, :close=>33583.45}}
{260105=>{:time=>"14:30", :open=>33581.05, :high=>33594.05, :low=>33466.65, :close=>33488.3}}
{260105=>{:time=>"14:45", :open=>33487.35, :high=>33570.6, :low=>33428.15, :close=>33570.6}}
{260105=>{:time=>"15:0", :open=>33570.5, :high=>33683.0, :low=>33483.2, :close=>33656.2}}
