{260105=>{:time=>"9:15", :open=>32732.8, :high=>32732.8, :low=>32649.55, :close=>32704.2}}
{260105=>{:time=>"9:30", :open=>32703.05, :high=>32736.6, :low=>32685.3, :close=>32687.2}}
{260105=>{:time=>"9:45", :open=>32685.6, :high=>32718.35, :low=>32675.7, :close=>32687.3}}
{260105=>{:time=>"10:0", :open=>32688.1, :high=>32721.65, :low=>32683.65, :close=>32700.25}}
{260105=>{:time=>"10:15", :open=>32697.5, :high=>32703.15, :low=>32656.85, :close=>32668.25}}
{260105=>{:time=>"10:30", :open=>32665.45, :high=>32691.3, :low=>32649.45, :close=>32667.9}}
{260105=>{:time=>"10:45", :open=>32668.1, :high=>32707.9, :low=>32639.15, :close=>32701.1}}
{260105=>{:time=>"11:0", :open=>32700.0, :high=>32738.25, :low=>32691.75, :close=>32731.2}}
{260105=>{:time=>"11:15", :open=>32731.75, :high=>32733.2, :low=>32699.45, :close=>32726.05}}
{260105=>{:time=>"11:30", :open=>32727.65, :high=>32736.2, :low=>32687.0, :close=>32691.9}}
{260105=>{:time=>"11:45", :open=>32692.75, :high=>32734.5, :low=>32658.95, :close=>32722.5}}
{260105=>{:time=>"12:0", :open=>32723.05, :high=>32726.8, :low=>32704.3, :close=>32724.3}}
{260105=>{:time=>"12:15", :open=>32723.05, :high=>32814.9, :low=>32722.75, :close=>32799.75}}
{260105=>{:time=>"12:30", :open=>32801.4, :high=>32841.35, :low=>32787.2, :close=>32794.35}}
{260105=>{:time=>"12:45", :open=>32796.75, :high=>32829.95, :low=>32756.4, :close=>32765.35}}
{260105=>{:time=>"13:0", :open=>32768.6, :high=>32796.9, :low=>32746.25, :close=>32790.15}}
{260105=>{:time=>"13:15", :open=>32791.0, :high=>32806.5, :low=>32767.05, :close=>32803.55}}
{260105=>{:time=>"13:30", :open=>32799.9, :high=>32807.75, :low=>32734.65, :close=>32763.3}}
{260105=>{:time=>"13:45", :open=>32763.95, :high=>32772.95, :low=>32688.6, :close=>32701.25}}
{260105=>{:time=>"14:0", :open=>32701.15, :high=>32716.2, :low=>32541.7, :close=>32559.55}}
{260105=>{:time=>"14:15", :open=>32559.2, :high=>32649.2, :low=>32557.9, :close=>32607.05}}
{260105=>{:time=>"14:30", :open=>32606.65, :high=>32606.8, :low=>32463.55, :close=>32466.8}}
{260105=>{:time=>"14:45", :open=>32466.05, :high=>32501.05, :low=>32282.4, :close=>32369.8}}
{260105=>{:time=>"15:0", :open=>32387.15, :high=>32390.2, :low=>31988.9, :close=>32147.2}}
