{260105=>{:time=>"9:15", :open=>32368.55, :high=>32401.4, :low=>32022.9, :close=>32375.2}}
{260105=>{:time=>"9:30", :open=>32371.95, :high=>32381.7, :low=>32184.4, :close=>32342.05}}
{260105=>{:time=>"9:45", :open=>32344.9, :high=>32394.5, :low=>32275.75, :close=>32307.35}}
{260105=>{:time=>"10:0", :open=>32310.35, :high=>32342.3, :low=>32217.15, :close=>32257.25}}
{260105=>{:time=>"10:15", :open=>32256.0, :high=>32305.45, :low=>32178.9, :close=>32256.15}}
{260105=>{:time=>"10:30", :open=>32254.6, :high=>32433.9, :low=>32217.75, :close=>32428.55}}
{260105=>{:time=>"10:45", :open=>32428.45, :high=>32534.6, :low=>32362.45, :close=>32412.8}}
{260105=>{:time=>"11:0", :open=>32414.4, :high=>32433.5, :low=>32342.95, :close=>32416.25}}
{260105=>{:time=>"11:15", :open=>32416.05, :high=>32474.1, :low=>32376.2, :close=>32389.2}}
{260105=>{:time=>"11:30", :open=>32388.75, :high=>32388.75, :low=>32256.55, :close=>32266.6}}
{260105=>{:time=>"11:45", :open=>32269.15, :high=>32309.25, :low=>32216.9, :close=>32289.25}}
{260105=>{:time=>"12:0", :open=>32290.4, :high=>32315.0, :low=>32245.7, :close=>32291.45}}
{260105=>{:time=>"12:15", :open=>32292.0, :high=>32294.6, :low=>32143.45, :close=>32180.6}}
{260105=>{:time=>"12:30", :open=>32181.15, :high=>32226.15, :low=>32127.45, :close=>32157.9}}
{260105=>{:time=>"12:45", :open=>32152.95, :high=>32284.65, :low=>32141.35, :close=>32263.05}}
{260105=>{:time=>"13:0", :open=>32261.2, :high=>32311.3, :low=>32206.45, :close=>32300.4}}
{260105=>{:time=>"13:15", :open=>32297.65, :high=>32341.8, :low=>31921.65, :close=>32045.6}}
{260105=>{:time=>"13:30", :open=>32049.1, :high=>32087.75, :low=>31987.45, :close=>32035.65}}
{260105=>{:time=>"13:45", :open=>32034.65, :high=>32149.75, :low=>31985.7, :close=>32121.35}}
{260105=>{:time=>"14:0", :open=>32120.6, :high=>32131.1, :low=>32046.15, :close=>32067.8}}
{260105=>{:time=>"14:15", :open=>32065.4, :high=>32341.05, :low=>32054.55, :close=>32300.3}}
{260105=>{:time=>"14:30", :open=>32306.2, :high=>32521.3, :low=>32306.2, :close=>32492.25}}
{260105=>{:time=>"14:45", :open=>32491.05, :high=>32530.6, :low=>32387.65, :close=>32422.75}}
{260105=>{:time=>"15:0", :open=>32421.8, :high=>32521.4, :low=>32358.75, :close=>32442.8}}
