{260105=>{:time=>"9:15", :open=>31490.6, :high=>31761.55, :low=>31415.45, :close=>31498.7}}
{260105=>{:time=>"9:30", :open=>31495.15, :high=>31525.1, :low=>31381.1, :close=>31516.75}}
{260105=>{:time=>"9:45", :open=>31515.75, :high=>31697.95, :low=>31493.85, :close=>31697.95}}
{260105=>{:time=>"10:0", :open=>31688.4, :high=>31848.15, :low=>31660.0, :close=>31829.45}}
{260105=>{:time=>"10:15", :open=>31831.75, :high=>31932.0, :low=>31772.95, :close=>31926.8}}
{260105=>{:time=>"10:30", :open=>31931.95, :high=>31983.25, :low=>31845.05, :close=>31881.15}}
{260105=>{:time=>"10:45", :open=>31881.5, :high=>31935.75, :low=>31826.15, :close=>31881.6}}
{260105=>{:time=>"11:0", :open=>31880.8, :high=>32029.95, :low=>31880.8, :close=>32025.2}}
{260105=>{:time=>"11:15", :open=>32022.2, :high=>32097.5, :low=>32003.5, :close=>32074.8}}
{260105=>{:time=>"11:30", :open=>32075.45, :high=>32147.0, :low=>32048.8, :close=>32108.95}}
{260105=>{:time=>"11:45", :open=>32105.85, :high=>32121.3, :low=>31999.7, :close=>32024.0}}
{260105=>{:time=>"12:0", :open=>32030.9, :high=>32089.1, :low=>32003.2, :close=>32028.9}}
{260105=>{:time=>"12:15", :open=>32026.25, :high=>32026.7, :low=>31831.6, :close=>31924.75}}
{260105=>{:time=>"12:30", :open=>31927.55, :high=>32048.6, :low=>31893.45, :close=>32029.15}}
{260105=>{:time=>"12:45", :open=>32037.5, :high=>32068.9, :low=>31893.65, :close=>31931.35}}
{260105=>{:time=>"13:0", :open=>31930.15, :high=>32004.65, :low=>31909.85, :close=>31929.7}}
{260105=>{:time=>"13:15", :open=>31932.5, :high=>32045.45, :low=>31916.0, :close=>32029.6}}
{260105=>{:time=>"13:30", :open=>32027.95, :high=>32033.7, :low=>31743.6, :close=>31803.7}}
{260105=>{:time=>"13:45", :open=>31805.05, :high=>31879.55, :low=>31724.2, :close=>31861.8}}
{260105=>{:time=>"14:0", :open=>31862.65, :high=>31913.65, :low=>31734.95, :close=>31740.8}}
{260105=>{:time=>"14:15", :open=>31737.65, :high=>31822.7, :low=>31627.4, :close=>31628.35}}
{260105=>{:time=>"14:30", :open=>31630.2, :high=>31689.3, :low=>31571.65, :close=>31585.15}}
{260105=>{:time=>"14:45", :open=>31582.25, :high=>31691.55, :low=>31565.0, :close=>31617.05}}
{260105=>{:time=>"15:0", :open=>31615.35, :high=>31833.8, :low=>31615.35, :close=>31734.2}}
