{260105=>{:time=>"9:15", :open=>32865.5, :high=>33050.3, :low=>32854.95, :close=>33049.75}}
{260105=>{:time=>"9:30", :open=>33053.8, :high=>33080.8, :low=>32995.3, :close=>33049.5}}
{260105=>{:time=>"9:45", :open=>33051.65, :high=>33143.45, :low=>33041.65, :close=>33069.95}}
{260105=>{:time=>"10:0", :open=>33067.55, :high=>33103.5, :low=>33046.0, :close=>33071.35}}
{260105=>{:time=>"10:15", :open=>33070.35, :high=>33095.4, :low=>32964.75, :close=>32981.4}}
{260105=>{:time=>"10:30", :open=>32980.95, :high=>33059.85, :low=>32970.5, :close=>33058.15}}
{260105=>{:time=>"10:45", :open=>33059.1, :high=>33109.25, :low=>33056.7, :close=>33070.45}}
{260105=>{:time=>"11:0", :open=>33069.35, :high=>33124.4, :low=>33049.7, :close=>33094.05}}
{260105=>{:time=>"11:15", :open=>33092.1, :high=>33135.25, :low=>33067.85, :close=>33106.75}}
{260105=>{:time=>"11:30", :open=>33111.15, :high=>33121.6, :low=>33084.8, :close=>33107.3}}
{260105=>{:time=>"11:45", :open=>33107.3, :high=>33169.45, :low=>33101.1, :close=>33165.8}}
{260105=>{:time=>"12:0", :open=>33174.25, :high=>33217.1, :low=>33165.35, :close=>33210.6}}
{260105=>{:time=>"12:15", :open=>33211.95, :high=>33291.75, :low=>33181.5, :close=>33287.6}}
{260105=>{:time=>"12:30", :open=>33287.85, :high=>33351.0, :low=>33257.3, :close=>33344.0}}
{260105=>{:time=>"12:45", :open=>33345.75, :high=>33502.8, :low=>33345.05, :close=>33484.75}}
{260105=>{:time=>"13:0", :open=>33485.5, :high=>33536.2, :low=>33412.85, :close=>33528.15}}
{260105=>{:time=>"13:15", :open=>33533.6, :high=>33560.15, :low=>33469.4, :close=>33510.45}}
{260105=>{:time=>"13:30", :open=>33509.2, :high=>33531.05, :low=>33488.05, :close=>33510.15}}
{260105=>{:time=>"13:45", :open=>33511.1, :high=>33660.35, :low=>33469.3, :close=>33655.3}}
{260105=>{:time=>"14:0", :open=>33652.25, :high=>33667.0, :low=>33594.7, :close=>33667.0}}
{260105=>{:time=>"14:15", :open=>33666.75, :high=>33698.1, :low=>33640.85, :close=>33665.2}}
{260105=>{:time=>"14:30", :open=>33671.7, :high=>33734.25, :low=>33633.1, :close=>33703.9}}
{260105=>{:time=>"14:45", :open=>33707.35, :high=>33766.35, :low=>33689.0, :close=>33748.6}}
{260105=>{:time=>"15:0", :open=>33743.25, :high=>33775.05, :low=>33725.7, :close=>33747.1}}
