{256265=>{:time=>"9:15", :open=>14522.4, :high=>14565.7, :low=>14484.6, :close=>14553.75}}
{256265=>{:time=>"9:30", :open=>14554.15, :high=>14559.35, :low=>14442.25, :close=>14472.9}}
{256265=>{:time=>"9:45", :open=>14472.7, :high=>14479.0, :low=>14432.8, :close=>14466.65}}
{256265=>{:time=>"10:0", :open=>14466.5, :high=>14499.35, :low=>14445.6, :close=>14457.1}}
{256265=>{:time=>"10:15", :open=>14453.85, :high=>14457.35, :low=>14396.7, :close=>14396.75}}
{256265=>{:time=>"10:30", :open=>14397.05, :high=>14417.5, :low=>14380.55, :close=>14410.45}}
{256265=>{:time=>"10:45", :open=>14411.25, :high=>14436.4, :low=>14409.15, :close=>14414.2}}
{256265=>{:time=>"11:0", :open=>14414.2, :high=>14414.6, :low=>14359.35, :close=>14367.35}}
{256265=>{:time=>"11:15", :open=>14366.4, :high=>14387.0, :low=>14361.05, :close=>14374.5}}
{256265=>{:time=>"11:30", :open=>14374.05, :high=>14415.6, :low=>14354.65, :close=>14413.15}}
{256265=>{:time=>"11:45", :open=>14412.9, :high=>14460.45, :low=>14403.75, :close=>14415.7}}
{256265=>{:time=>"12:0", :open=>14415.4, :high=>14449.9, :low=>14405.05, :close=>14429.8}}
{256265=>{:time=>"12:15", :open=>14429.9, :high=>14451.5, :low=>14410.55, :close=>14420.95}}
{256265=>{:time=>"12:30", :open=>14420.8, :high=>14441.85, :low=>14408.85, :close=>14439.4}}
{256265=>{:time=>"12:45", :open=>14438.5, :high=>14452.65, :low=>14425.35, :close=>14442.2}}
{256265=>{:time=>"13:0", :open=>14441.2, :high=>14460.65, :low=>14417.5, :close=>14427.4}}
{256265=>{:time=>"13:15", :open=>14426.3, :high=>14448.3, :low=>14413.15, :close=>14432.1}}
{256265=>{:time=>"13:30", :open=>14431.8, :high=>14482.1, :low=>14424.3, :close=>14474.05}}
{256265=>{:time=>"13:45", :open=>14473.6, :high=>14495.5, :low=>14458.2, :close=>14472.5}}
{256265=>{:time=>"14:0", :open=>14472.1, :high=>14523.4, :low=>14472.1, :close=>14515.3}}
{256265=>{:time=>"14:15", :open=>14514.35, :high=>14531.3, :low=>14479.75, :close=>14499.65}}
{256265=>{:time=>"14:30", :open=>14500.2, :high=>14519.15, :low=>14471.85, :close=>14496.9}}
{256265=>{:time=>"14:45", :open=>14497.0, :high=>14537.35, :low=>14496.85, :close=>14535.25}}
{256265=>{:time=>"15:0", :open=>14533.35, :high=>14587.9, :low=>14533.35, :close=>14587.9}}
