{260105=>{:time=>"9:15", :open=>35352.0, :high=>35395.95, :low=>35005.9, :close=>35101.45}}
{260105=>{:time=>"9:30", :open=>35101.35, :high=>35269.35, :low=>35038.3, :close=>35078.3}}
{260105=>{:time=>"9:45", :open=>35080.1, :high=>35148.05, :low=>34952.85, :close=>35109.9}}
{260105=>{:time=>"10:0", :open=>35109.8, :high=>35163.5, :low=>35023.05, :close=>35112.05}}
{260105=>{:time=>"10:15", :open=>35110.15, :high=>35271.65, :low=>35096.65, :close=>35270.45}}
{260105=>{:time=>"10:30", :open=>35271.1, :high=>35356.45, :low=>35225.35, :close=>35306.7}}
{260105=>{:time=>"10:45", :open=>35304.8, :high=>35306.9, :low=>35186.65, :close=>35196.6}}
{260105=>{:time=>"11:0", :open=>35194.25, :high=>35259.05, :low=>35194.25, :close=>35245.55}}
{260105=>{:time=>"11:15", :open=>35245.8, :high=>35246.1, :low=>35081.9, :close=>35082.4}}
{260105=>{:time=>"11:30", :open=>35088.65, :high=>35122.3, :low=>35009.55, :close=>35029.0}}
{260105=>{:time=>"11:45", :open=>35030.45, :high=>35087.6, :low=>35024.95, :close=>35045.65}}
{260105=>{:time=>"12:0", :open=>35043.0, :high=>35302.25, :low=>35019.15, :close=>35102.9}}
{260105=>{:time=>"12:15", :open=>35101.4, :high=>35167.75, :low=>35088.35, :close=>35091.25}}
{260105=>{:time=>"12:30", :open=>35093.0, :high=>35149.95, :low=>35065.0, :close=>35125.7}}
{260105=>{:time=>"12:45", :open=>35124.4, :high=>35131.8, :low=>35077.65, :close=>35088.95}}
{260105=>{:time=>"13:0", :open=>35086.05, :high=>35199.25, :low=>34878.45, :close=>34923.75}}
{260105=>{:time=>"13:15", :open=>34929.65, :high=>34929.65, :low=>34815.25, :close=>34815.25}}
{260105=>{:time=>"13:30", :open=>34817.4, :high=>34926.6, :low=>34751.2, :close=>34902.15}}
{260105=>{:time=>"13:45", :open=>34899.5, :high=>34956.7, :low=>34850.25, :close=>34898.7}}
{260105=>{:time=>"14:0", :open=>34898.0, :high=>35014.0, :low=>34846.3, :close=>34860.7}}
{260105=>{:time=>"14:15", :open=>34860.3, :high=>34925.5, :low=>34849.05, :close=>34910.0}}
{260105=>{:time=>"14:30", :open=>34908.55, :high=>34996.25, :low=>34881.55, :close=>34889.8}}
{260105=>{:time=>"14:45", :open=>34893.65, :high=>34968.1, :low=>34887.25, :close=>34931.15}}
{260105=>{:time=>"15:0", :open=>34934.5, :high=>34996.9, :low=>34745.3, :close=>34785.9}}
