{256265=>{:time=>"9:15", :open=>14481.05, :high=>14530.75, :low=>14417.65, :close=>14525.5}}
{256265=>{:time=>"9:30", :open=>14525.45, :high=>14547.65, :low=>14492.65, :close=>14545.45}}
{256265=>{:time=>"9:45", :open=>14545.55, :high=>14561.2, :low=>14531.9, :close=>14544.4}}
{256265=>{:time=>"10:0", :open=>14545.1, :high=>14555.2, :low=>14527.35, :close=>14542.95}}
{256265=>{:time=>"10:15", :open=>14543.05, :high=>14551.6, :low=>14512.75, :close=>14528.9}}
{256265=>{:time=>"10:30", :open=>14528.6, :high=>14576.45, :low=>14519.3, :close=>14572.85}}
{256265=>{:time=>"10:45", :open=>14572.85, :high=>14594.0, :low=>14542.7, :close=>14554.15}}
{256265=>{:time=>"11:0", :open=>14554.4, :high=>14555.6, :low=>14529.4, :close=>14543.9}}
{256265=>{:time=>"11:15", :open=>14544.2, :high=>14565.55, :low=>14536.7, :close=>14550.8}}
{256265=>{:time=>"11:30", :open=>14550.0, :high=>14551.45, :low=>14532.8, :close=>14535.3}}
{256265=>{:time=>"11:45", :open=>14535.95, :high=>14563.3, :low=>14520.9, :close=>14558.35}}
{256265=>{:time=>"12:0", :open=>14558.95, :high=>14570.6, :low=>14552.1, :close=>14569.35}}
{256265=>{:time=>"12:15", :open=>14568.9, :high=>14569.8, :low=>14542.2, :close=>14546.65}}
{256265=>{:time=>"12:30", :open=>14546.9, :high=>14557.9, :low=>14534.55, :close=>14544.75}}
{256265=>{:time=>"12:45", :open=>14544.4, :high=>14572.05, :low=>14542.05, :close=>14570.45}}
{256265=>{:time=>"13:0", :open=>14570.4, :high=>14591.35, :low=>14560.2, :close=>14590.25}}
{256265=>{:time=>"13:15", :open=>14590.05, :high=>14599.85, :low=>14529.05, :close=>14551.4}}
{256265=>{:time=>"13:30", :open=>14552.1, :high=>14560.05, :low=>14540.7, :close=>14552.3}}
{256265=>{:time=>"13:45", :open=>14552.2, :high=>14573.5, :low=>14537.7, :close=>14566.9}}
{256265=>{:time=>"14:0", :open=>14566.95, :high=>14569.85, :low=>14549.85, :close=>14559.1}}
{256265=>{:time=>"14:15", :open=>14558.6, :high=>14611.25, :low=>14556.9, :close=>14609.55}}
{256265=>{:time=>"14:30", :open=>14610.7, :high=>14667.2, :low=>14610.7, :close=>14662.95}}
{256265=>{:time=>"14:45", :open=>14662.4, :high=>14673.3, :low=>14647.55, :close=>14647.65}}
{256265=>{:time=>"15:0", :open=>14646.05, :high=>14654.85, :low=>14616.25, :close=>14629.35}}
