{260105=>{:time=>"9:15", :open=>36371.55, :high=>36386.4, :low=>36146.2, :close=>36151.1}}
{260105=>{:time=>"9:30", :open=>36150.15, :high=>36362.0, :low=>36126.65, :close=>36340.45}}
{260105=>{:time=>"9:45", :open=>36340.8, :high=>36409.4, :low=>36294.9, :close=>36355.45}}
{260105=>{:time=>"10:0", :open=>36354.15, :high=>36572.75, :low=>36278.55, :close=>36522.45}}
{260105=>{:time=>"10:15", :open=>36527.5, :high=>36607.2, :low=>36501.2, :close=>36508.9}}
{260105=>{:time=>"10:30", :open=>36508.9, :high=>36650.4, :low=>36507.05, :close=>36570.5}}
{260105=>{:time=>"10:45", :open=>36572.05, :high=>36572.05, :low=>36381.15, :close=>36381.15}}
{260105=>{:time=>"11:0", :open=>36379.2, :high=>36425.1, :low=>36325.7, :close=>36388.35}}
{260105=>{:time=>"11:15", :open=>36400.6, :high=>36447.2, :low=>36326.1, :close=>36438.85}}
{260105=>{:time=>"11:30", :open=>36446.65, :high=>36446.65, :low=>36351.05, :close=>36392.25}}
{260105=>{:time=>"11:45", :open=>36393.5, :high=>36505.65, :low=>36377.5, :close=>36398.6}}
{260105=>{:time=>"12:0", :open=>36397.6, :high=>36436.05, :low=>36362.75, :close=>36400.3}}
{260105=>{:time=>"12:15", :open=>36402.15, :high=>36409.3, :low=>36341.85, :close=>36359.75}}
{260105=>{:time=>"12:30", :open=>36359.85, :high=>36362.45, :low=>36280.45, :close=>36346.95}}
{260105=>{:time=>"12:45", :open=>36350.05, :high=>36397.8, :low=>36243.8, :close=>36268.15}}
{260105=>{:time=>"13:0", :open=>36268.3, :high=>36321.1, :low=>36206.1, :close=>36273.35}}
{260105=>{:time=>"13:15", :open=>36271.55, :high=>36274.1, :low=>36130.3, :close=>36153.5}}
{260105=>{:time=>"13:30", :open=>36151.45, :high=>36178.95, :low=>36048.75, :close=>36129.95}}
{260105=>{:time=>"13:45", :open=>36131.15, :high=>36152.05, :low=>36073.65, :close=>36078.25}}
{260105=>{:time=>"14:0", :open=>36076.35, :high=>36106.7, :low=>35641.05, :close=>35683.5}}
{260105=>{:time=>"14:15", :open=>35683.6, :high=>35865.95, :low=>35680.2, :close=>35859.2}}
{260105=>{:time=>"14:30", :open=>35855.2, :high=>35902.5, :low=>35709.4, :close=>35718.0}}
{260105=>{:time=>"14:45", :open=>35716.9, :high=>35778.05, :low=>35587.75, :close=>35607.5}}
{260105=>{:time=>"15:0", :open=>35606.2, :high=>35950.5, :low=>35606.2, :close=>35940.15}}
