{256265=>{:time=>"9:15", :open=>15074.8, :high=>15082.6, :low=>15030.75, :close=>15030.75}}
{256265=>{:time=>"9:30", :open=>15031.0, :high=>15084.0, :low=>15029.65, :close=>15076.7}}
{256265=>{:time=>"9:45", :open=>15076.05, :high=>15106.65, :low=>15071.55, :close=>15086.2}}
{256265=>{:time=>"10:0", :open=>15085.9, :high=>15112.95, :low=>15060.55, :close=>15102.4}}
{256265=>{:time=>"10:15", :open=>15102.15, :high=>15126.85, :low=>15102.15, :close=>15112.6}}
{256265=>{:time=>"10:30", :open=>15112.6, :high=>15143.0, :low=>15112.35, :close=>15123.85}}
{256265=>{:time=>"10:45", :open=>15124.35, :high=>15124.35, :low=>15069.5, :close=>15069.5}}
{256265=>{:time=>"11:0", :open=>15069.35, :high=>15082.1, :low=>15057.1, :close=>15067.65}}
{256265=>{:time=>"11:15", :open=>15071.2, :high=>15092.55, :low=>15053.85, :close=>15091.85}}
{256265=>{:time=>"11:30", :open=>15092.55, :high=>15092.55, :low=>15067.75, :close=>15080.55}}
{256265=>{:time=>"11:45", :open=>15081.65, :high=>15110.85, :low=>15076.35, :close=>15083.95}}
{256265=>{:time=>"12:0", :open=>15083.55, :high=>15091.2, :low=>15074.3, :close=>15082.1}}
{256265=>{:time=>"12:15", :open=>15082.25, :high=>15087.3, :low=>15070.65, :close=>15071.8}}
{256265=>{:time=>"12:30", :open=>15071.65, :high=>15090.35, :low=>15059.1, :close=>15087.1}}
{256265=>{:time=>"12:45", :open=>15087.8, :high=>15101.1, :low=>15070.7, :close=>15075.65}}
{256265=>{:time=>"13:0", :open=>15076.0, :high=>15086.45, :low=>15057.7, :close=>15080.4}}
{256265=>{:time=>"13:15", :open=>15079.15, :high=>15081.8, :low=>15041.3, :close=>15042.1}}
{256265=>{:time=>"13:30", :open=>15041.0, :high=>15051.75, :low=>15012.2, :close=>15036.9}}
{256265=>{:time=>"13:45", :open=>15036.9, :high=>15049.1, :low=>15024.6, :close=>15027.15}}
{256265=>{:time=>"14:0", :open=>15026.75, :high=>15030.15, :low=>14910.65, :close=>14910.65}}
{256265=>{:time=>"14:15", :open=>14912.0, :high=>14970.4, :low=>14909.5, :close=>14967.95}}
{256265=>{:time=>"14:30", :open=>14967.95, :high=>14986.6, :low=>14941.9, :close=>14943.45}}
{256265=>{:time=>"14:45", :open=>14943.0, :high=>14946.05, :low=>14898.4, :close=>14903.35}}
{256265=>{:time=>"15:0", :open=>14903.4, :high=>15010.5, :low=>14903.4, :close=>15006.25}}
