{256265=>{:time=>"9:15", :open=>14946.55, :high=>14954.4, :low=>14884.75, :close=>14929.95}}
{256265=>{:time=>"9:30", :open=>14929.4, :high=>14942.65, :low=>14910.75, :close=>14913.9}}
{256265=>{:time=>"9:45", :open=>14915.1, :high=>14919.0, :low=>14889.85, :close=>14890.1}}
{256265=>{:time=>"10:0", :open=>14891.3, :high=>14908.4, :low=>14861.9, :close=>14866.05}}
{256265=>{:time=>"10:15", :open=>14866.15, :high=>14870.3, :low=>14846.6, :close=>14867.3}}
{256265=>{:time=>"10:30", :open=>14867.4, :high=>14890.05, :low=>14864.5, :close=>14876.7}}
{256265=>{:time=>"10:45", :open=>14877.1, :high=>14879.8, :low=>14860.2, :close=>14869.9}}
{256265=>{:time=>"11:0", :open=>14869.5, :high=>14875.3, :low=>14855.15, :close=>14874.35}}
{256265=>{:time=>"11:15", :open=>14874.8, :high=>14933.05, :low=>14872.85, :close=>14931.85}}
{256265=>{:time=>"11:30", :open=>14931.95, :high=>14950.1, :low=>14911.75, :close=>14917.3}}
{256265=>{:time=>"11:45", :open=>14916.8, :high=>14930.2, :low=>14889.45, :close=>14891.55}}
{256265=>{:time=>"12:0", :open=>14891.7, :high=>14900.4, :low=>14856.65, :close=>14860.75}}
{256265=>{:time=>"12:15", :open=>14861.7, :high=>14872.7, :low=>14844.95, :close=>14860.05}}
{256265=>{:time=>"12:30", :open=>14860.75, :high=>14868.5, :low=>14832.85, :close=>14849.85}}
{256265=>{:time=>"12:45", :open=>14849.9, :high=>14862.85, :low=>14823.75, :close=>14839.4}}
{256265=>{:time=>"13:0", :open=>14837.95, :high=>14841.6, :low=>14821.75, :close=>14830.45}}
{256265=>{:time=>"13:15", :open=>14830.15, :high=>14863.7, :low=>14830.15, :close=>14841.45}}
{256265=>{:time=>"13:30", :open=>14841.4, :high=>14863.15, :low=>14833.2, :close=>14843.2}}
{256265=>{:time=>"13:45", :open=>14842.8, :high=>14849.95, :low=>14803.6, :close=>14811.1}}
{256265=>{:time=>"14:0", :open=>14810.75, :high=>14823.4, :low=>14779.95, :close=>14790.95}}
{256265=>{:time=>"14:15", :open=>14791.0, :high=>14801.8, :low=>14765.25, :close=>14788.15}}
{256265=>{:time=>"14:30", :open=>14788.35, :high=>14794.15, :low=>14771.25, :close=>14784.15}}
{256265=>{:time=>"14:45", :open=>14784.65, :high=>14800.35, :low=>14773.15, :close=>14792.85}}
{256265=>{:time=>"15:0", :open=>14793.4, :high=>14800.45, :low=>14696.6, :close=>14699.55}}
