{260105=>{:time=>"9:15", :open=>33041.65, :high=>33255.5, :low=>33041.65, :close=>33205.35}}
{260105=>{:time=>"9:30", :open=>33208.0, :high=>33224.25, :low=>33148.2, :close=>33175.1}}
{260105=>{:time=>"9:45", :open=>33172.7, :high=>33188.5, :low=>33087.55, :close=>33097.6}}
{260105=>{:time=>"10:0", :open=>33097.35, :high=>33155.85, :low=>33091.85, :close=>33122.3}}
{260105=>{:time=>"10:15", :open=>33125.45, :high=>33140.55, :low=>33039.65, :close=>33049.5}}
{260105=>{:time=>"10:30", :open=>33047.0, :high=>33079.0, :low=>32971.8, :close=>32978.45}}
{260105=>{:time=>"10:45", :open=>32974.75, :high=>33027.25, :low=>32930.35, :close=>33026.2}}
{260105=>{:time=>"11:0", :open=>33023.9, :high=>33030.2, :low=>32937.25, :close=>32955.75}}
{260105=>{:time=>"11:15", :open=>32954.65, :high=>33066.8, :low=>32953.8, :close=>33063.6}}
{260105=>{:time=>"11:30", :open=>33063.05, :high=>33075.7, :low=>33007.95, :close=>33037.45}}
{260105=>{:time=>"11:45", :open=>33037.45, :high=>33049.05, :low=>32984.9, :close=>33030.75}}
{260105=>{:time=>"12:0", :open=>33028.65, :high=>33030.6, :low=>32841.5, :close=>32893.75}}
{260105=>{:time=>"12:15", :open=>32881.75, :high=>32899.3, :low=>32772.1, :close=>32885.35}}
{260105=>{:time=>"12:30", :open=>32885.3, :high=>32914.0, :low=>32840.7, :close=>32908.55}}
{260105=>{:time=>"12:45", :open=>32906.9, :high=>32941.35, :low=>32875.55, :close=>32891.65}}
{260105=>{:time=>"13:0", :open=>32890.25, :high=>32906.25, :low=>32831.45, :close=>32850.45}}
{260105=>{:time=>"13:15", :open=>32850.1, :high=>32902.35, :low=>32805.05, :close=>32858.1}}
{260105=>{:time=>"13:30", :open=>32860.6, :high=>32908.6, :low=>32843.05, :close=>32889.2}}
{260105=>{:time=>"13:45", :open=>32886.3, :high=>32981.95, :low=>32878.15, :close=>32944.0}}
{260105=>{:time=>"14:0", :open=>32943.4, :high=>32980.15, :low=>32871.35, :close=>32959.75}}
{260105=>{:time=>"14:15", :open=>32961.3, :high=>32967.5, :low=>32899.1, :close=>32906.2}}
{260105=>{:time=>"14:30", :open=>32908.5, :high=>32933.05, :low=>32865.75, :close=>32924.2}}
{260105=>{:time=>"14:45", :open=>32924.3, :high=>32952.8, :low=>32906.5, :close=>32918.0}}
{260105=>{:time=>"15:0", :open=>32918.4, :high=>32943.65, :low=>32895.65, :close=>32914.75}}
